names,score
AirDog46,4
Akatusuki,10
Alegria,1
AloneTM,2
AmitTMB,1
AndyCrasher,1
Ant,2
AtomicRaider2k,1
Azstar,4
Azuuree,2
BMBradleyYT,2
BabyKrypto,5
Belle Delphine❤,1
Benjiram,15
BlackVelvet666,5
BloodNoon,1
BlueSnowBallMic,1
Botwave,4
BreadLoaf_Keys,4
Brizly,2
Candi,1
CasualWeird,1
Chainkiller,1
Clickies,2
Connor,7
Cookie,1
DaTurTelGod1,1
DabOnDatCheese,2
Dave,5
Decay,2
Decipher,6
Doodles4,1
DreamLogic,3
Ducky,1
Eco,3
Edwinium,1
Elementalish,1
FitzyPvP,27
Forcatchy,1
FortnitePlayer,1
FortyFour,4
Foxify,2
FrostyyMC,4
Fudgie,3
GoldenMurphyMan,4
GoogleSearches,7
Gusuu,1
H5,1
HaederTheToast,2
Happy_Skeppy,1
Hydrozing,1
IcyHotHead,8
Insted,23
InvadedLands,5
Invincible50,1
ItsYaBoiAlex14,5
Jaimss,15
JamesJustJoined,11
Japan___,1
Jaws,1
Jesting,1
JoeMS10,8
Kayloo,2
KittyKitty69,1
Kobuto,1
Lancciks,3
Lauren,6
Laylim,1
Lonewulfx3,5
Lou,1
LukeLovesCandy,1
Lumbrub,27
MagnitoIsAGod,1
McDonalds,6
Meatballia,1
Middle,1
MiniC0ded,1
Momentum,1
Mqzen,2
Neptune888,27
Nicbo,6
Nicki,4
Nivika,1
Notascendix,1
OriginalBlaZe,1
OrionPvP,12
PigMatt,1
Qoil,75
Ramen,1
RechraHCF,1
Redot,14
S0V,3
SAKE80,1
Sasuke,3
Serpent0406,1
Simplility,15
SkeppyCat,3
SkittlesTM,4
Smakina,1
Sora,1
SpaceUnit,8
Spycy,1
StarZorrow,2
Stardust,1
Stradium,3
Subsy,2
Summerr,1
Swirls,6
TensiveWolf8599,1
TeunMC,1
TheTimeDefender,1
Twisst,8
UncleJimmy_yt,3
UnholyCow,1
Unnamedguy,1
UnoReverseCaard,1
V_A_M,64
Valat,11
Voltwave,2
Vooltron,4
WasabiRaven,2
Weirdillusions,15
WolfCrafted,1
Wqlk,6
Xoads,3
Zeesgoツ,1
Zlolkill,1
Zyvra,3
__Dragonslayer,1
aiht,1
alertall,1
ash,14
astroepengee,2
bewitchingmallll,1
casey,25
cooboss8372,1
cowFrickerTheOG,1
d_rodrigo,10
democraticparty,2
demvibes,1
didgital,2
dog,9
embox,6
encription,1
evites,65
frostyneedshelp,2
hamoka,2
katykat,4
kaylie,5
kvids,2
lovebailey,7
lovejaidy,1
lucxy,1
mvri,2
myro,1
ninvm_,1
nuhmb,1
oambo,2
ok boomer,1
ophen,1
pat_3,3
popthetags,4
ql3c,4
rcgret,5
sadliar,6
soul,1
succesfully,1
sushi,1
swee,1
swervah,1
vQuil,1
velo,2
warper,1
xFiluu_,1
xSquid3997,4
xVurs,1
yumes,1
zJavaError,6
