names,score
1pick,2
Akatusuki,7
Apollyon365,1
AtomicRaider2k,1
Aviv,2
Azstar,1
Cookie,7
DDRNSTPMGMX,1
DabOnDatCheese,1
Decay,1
DoggyDoge,1
DuarteSilva11,1
Elementalish,1
GoldenMurphyMan,2
HaederTheToast,1
ILikeBurgers555,1
I_AM_afraid,1
IcyHotHead,1
Insted,1
Invincible50,3
JamesJustJoined,1
Joyoy0,1
Lumbrub,1
MaNemEvan,1
Meepoh,1
Neptune888,8
Notascendix,1
OrionPvP,1
RoxasFA,1
SpaceUnit,1
SwagBoy44444,1
TechyGaming,1
ThorPlaysAlot,1
V_A_M,3
Vooltron,1
Weirdillusions,2
Wuxule,1
Xoads,1
ash,3
cSyre,2
casey,1
evites,1
hamoka,1
lovebailey,3
miah,3
popthetags,1
qtJeff,1
rcgret,1
sadliar,2
swee,2
velo,1
