names,score
1pick,4
AtomicRaider2k,1
Aviv,1
Azstar,1
BabyKrypto,2
Belle Delphine❤,1
BlankSpaceHere,1
BlueSnowBallMic,1
Botwave,3
BreadLoaf_Keys,2
Captmarshmellow,1
CelticKestrel,1
Chainkiller,1
Clickies,1
CoocaCola,1
DabOnDatCheese,1
DoggyDoge,1
FitzyPvP,5
Foxify,1
FrostyyMC,2
GameSter Damian,1
GoogleSearches,1
Hawkeye Hollow,1
I_AM_afraid,2
IcyHotHead,3
Insted,2
InvadedLands,1
Invincible50,3
ItsYaBoiAlex14,2
JJ0502,1
Jaimss,2
JamesJustJoined,6
Joyoy0,1
Kayloo,1
Laylim,2
Lonewulfx3,2
Lumbrub,1
McDonalds,2
Meatballia,1
Momentum,1
Neptune888,4
NewYearsFreddy,1
Nicbo,1
OrionPvP,2
Periys,1
Preceding,1
Redot,2
Reframinq,1
Serpent0406,3
ShaneJosephh,1
Simplility,1
SkeppyCat,6
StarGamesX,1
StarZorrow,1
Stmz,1
Subsy,1
Summerr,1
Trystan,2
V_A_M,8
Verzuolo,1
Yawnless,1
Zlolkill,1
__Strength__,1
adam,1
aerei,1
badliar_,1
casey,4
democraticparty,1
dog,2
evites,1
fongus,1
frostyneedshelp,1
goawayimhigh,1
hamoka,1
hevex,1
katykat,1
kaylie,1
kvids,1
leyaoeric,1
lovebailey,2
mcpmeme,1
olmocap,1
rcgret,2
sSkiez,1
sadliar,1
succesfully,1
thehydrogen,2
vaxxi,1
wheresmymommy,1
