names,score
1pick,3
AKJenn,1
Aeqz,1
AgentPanda_,2
ApexWasabi,1
Aviv,1
BMBradleyYT,1
BabyKrypto,1
Benjiram,1
BlackVelvet666,2
BlueSnowBallMic,1
Botwave,1
Caleux (Lucas),2
Candi,2
Cookie,4
DDRNSTPMGMX,2
DaTurTelGod1,1
Dave,2
Decay,1
DreamLogic,1
Elementalish,5
Etshaw,1
FitzyPvP,1
FrostyyMC,1
GoldenMurphyMan,7
Hamster,1
HyperFlames,2
IcyHotHead,7
ImRayst,1
Insted,2
Invincible50,1
ItalicPie580,1
ItsHowecs,1
ItsYaBoiAlex14,1
Jaimss,1
JamesJustJoined,9
Kayloo,2
Kobuto,1
Lauren,3
Laylim,3
Lonewulfx3,2
LuckyBlockJack,107
Lumbrub,2
MaNemEvan,5
MatiasCL,1
McDonalds,1
Neptune888,18
Nicbo,5
NinetyPercent,1
Nivika,1
NonCreativ3,1
OrionPvP,8
Publerincen,1
Redot,3
RoxasFA,2
SAKE80,1
Serpent0406,1
SkeppyCat,2
SpaceUnit,2
Stardust,1
Stmz,1
Stridingg,3
Swirls,2
Talem,3
TeunMC,1
Th3ftx,1
TorpedoTim64,1
Twisst,1
Tyone,1
V_A_M,16
Valat,1
Voltwave,1
WasabiRaven,1
Weirdillusions,4
WendaF,1
Wqlk,9
Zeesgoツ,1
Zopetto,1
Zunsk,1
_Goomy,1
__Strength__,1
adam,2
aiht,1
ameliaaaaa,1
ash,3
casey,4
cellwall,1
cowFrickerTheOG,3
d_rodrigo,2
dog,3
e_ic,1
embox,1
evites,4
hamoka,6
katykat,2
kaylie,1
lovebailey,4
m_fonseca003,1
mvri,1
popthetags,1
rcgret,1
sSkiez,1
sadkai,1
sadliar,5
sunnyinsane,1
universalt,1
wheresmymommy,1
xRochy,1
xVurs,1
xolt10,1
yuko_x,1
