names,score
1pick,1
4G7,1
Arth795,2
Aviv,1
BreadLoaf_Keys,4
Cryptoness,1
DaTurTelGod1,1
Domitance42,1
GiantPoop,1
GlitchyCube,1
HackyMan1,1
ISpexI,1
ItsYaBoiAlex14,1
Jacob,1
Jaimss,1
JamesJustJoined,3
Kobuto,1
Lonewulfx3,2
Majeranek,1
Monit0r,1
Neptune888,12
PapaGoofy,1
Redot,1
RespectlesGirl!,1
RichieInDaBox,1
RoxasFA,1
S0V,2
TensiveWolf8599,1
Tocket,1
UpbeatKnot43716,2
V_A_M,1
Weirdillusions,2
WolfCrafted,1
Wqlk,1
Xoads,1
Yawnless,1
cSyre,3
casey,1
d_rodrigo,1
ericc,1
iMedia,1
lukaplayz,2
mrchanjack1,1
rcgret,2
sadliar,3
xyuji,1
zJavaError,1
