names,score
1pick,8
AirDog46,2
AloneTM,1
Ant,1
Azstar,2
BabyKrypto,1
Belle Delphine❤,1
BlackVelvet666,1
Botwave,1
Captmarshmellow,1
Chainkiller,1
DaTurTelGod1,1
DavidFull,1
Dottovu,1
Eco,3
Erfe,1
FakeLoki_,1
FortyFour,6
Furrie,3
Golden_,1
GoogleSearches,2
Hydrozing,1
IcyHotHead,1
Insted,2
Invincible50,1
ItsYaBoiAlex14,1
JamesJustJoined,1
Kayloo,1
Kobuto,1
Lumboc,1
Lumbrub,7
MM_TAKI,1
MateoDoge,1
McDonalds,1
Meinex,1
MiniC0ded,1
Monit0r,1
Neptune888,1
Nicbo,2
Nicki,1
Nucker,1
OrionPvP,8
Pentala,1
Qoil,1
Qrix,1
Redot,2
SAKE80,1
SadLuna,4
Sariel,1
SkeppyCat,3
Stmz,2
TiceyDicey,1
Twisst,1
University444,1
V_A_M,6
Valat,3
Voltwave,2
Weirdillusions,6
WillyTPlayz,1
Wolthy,1
Wqlk,1
Xoads,1
Zeesgoツ,1
Zlolkill,1
ameliaaaaa,1
ash,1
casey,1
cowFrickerTheOG,1
dxllas,1
embox,1
evites,2
lovebailey,2
lovejaidy,3
mvri,1
ok boomer,1
rashes,1
sadliar,1
velo,1
voidkay,2
wao,1
warper,3
x0roa,1
zJavaError,1
