names,score
1pick,10
69hd,2
AloneTM,1
AmazingAlpha,1
BabyKrypto,2
Botwave,2
BreadLoaf_Keys,1
Caleux (Lucas),1
CoocaCola,2
Eco,1
Ernsburns,1
FortyFour,1
Foxify,1
FrostyyMC,1
Garvey,2
Golden_,2
GoogleSearches,1
INotDumb,1
InvadedLands,1
Invincible50,8
JamesJustJoined,2
KS3Selim,1
Kyrence,1
Laylim,1
Lumbrub,3
MM_TAKI,1
McDonalds,3
NerdSocial,1
Nicbo,1
Nitees,1
Notascendix,1
OrionPvP,4
Redot,1
RexizX,1
Rikhard_,1
RoyalDreary,1
Rukuku 137,3
S0V,6
SadLuna,1
Stmz,1
Talem,1
Trystan,1
V_A_M,6
Warri0rBoo,1
Weirdillusions,4
WolfCrafted,1
Wqlk,1
Zeesgoツ,1
_Goomy,1
ash,2
badliar_,1
casey,4
dog,3
epicgamer37,1
evites,2
lonoN,1
lovebailey,3
lovejaidy,1
lucxy,1
nottekoh,1
ql3c,1
sSkiez,1
sadliar,4
skulmz,1
toooog,1
voidkay,5
wclls,1
zJavaError,1
