names,score
1pick,4
64Gigabites,1
69hd,9
AdaptableRuben,1
AirDog46,2
Akatusuki,2
Anonymizing,1
Applausing,1
Ares054,1
AskedToast031,1
AutumnCrystal,1
BabyKrypto,1
Bacca,1
Benjiram,1
BlackVelvet666,2
Botwave,1
CakeMan710,1
CallMeToxic,1
Captmarshmellow,1
Cool_man,3
DabOnDatCheese,1
Dave,1
FakeLoki_,1
FitzyPvP,1
FortnitePlayer,1
Fudgie,2
GrimmEvoL,1
H5,1
HaederTheToast,1
Hqps,2
Insted,8
Invincible50,1
ItsYaBoiAlex14,5
JamesJustJoined,1
Japan___,1
Jedadah,7
Jet,1
JoeMS10,5
JoinMolten,3
Kayloo,2
KingLoLoHP,1
KittyKitty69,4
Kobbie,1
Lancciks,2
Lauren,1
Laylim,2
Lonewulfx3,1
Lumbrub,4
Luna,1
MagnitoIsAGod,2
McDonalds,3
Momentum,1
MrLlama1201,1
NerdSocial,1
NestaDiePie,2
Ngamer7,2
Nicki,1
Nowy,2
Nucker,1
Pepe956,1
Ramen,1
Redot,1
Sander0410,1
Serpent0406,3
SlickBoy,1
SmoothVibes,1
SpaceUnit,6
Spycy,2
Summerr,1
Swirls,3
TeunMC,6
TomShef,1
V_A_M,8
Vainer,1
VestaLT,1
Wolthy,2
Wqlk,6
Xoads,1
YellowYerp,1
ambiients,1
ash,5
buffman60,1
casey,24
deathplayz2008,1
evites,2
firehond,1
foomf,1
goawayimhigh,1
greenpastel,1
hamoka,1
hevex,1
ipaid4linux,1
its_me_liv_,1
katykat,6
kkhan,2
kvids,5
lovebailey,5
lovejaidy,2
lovemisty,1
m_fonseca003,1
monkeyman,1
muffinyboyhalo,2
mvri,1
panicbrendon,1
popthetags,1
rcgret,4
sSkiez,1
sadkai,3
sadliar,2
theceooftheyear9,1
vaxxi,1
velo,1
xSquid3997,2
zNoxius,2
