names,score
1pick,9
Akatusuki,4
AmitTMB,1
BabyKrypto,2
Benjiram,2
BlackThunder447,1
BlackVelvet666,1
BreadLoaf_Keys,6
Camila,1
Candi,2
Captmarshmellow,2
Clickies,2
Connor,2
CrxssCourt,1
DaDonut,2
Dave,3
DerpDude,1
Dufji,1
EmberAydin,1
FortnitePlayer,1
Foxify,1
FrostyyMC,3
GameSter Damian,1
GiantPoop,1
GlitchyCube,2
GoldenMurphyMan,3
Honor,1
Hydrozing,1
HyperFlames,1
ILuvFennecs,1
ISpexI,1
IcyHotHead,3
Invincible50,1
ItsUnFazedX,1
Jaimss,3
JamesJustJoined,12
Jesting,1
JoeMS10,5
King8ight,1
KittyKitty69,2
Lauren,1
Laylim,2
Lonewulfx3,1
Loonest,2
LuffyPuffy,1
Lumbrub,8
MM_TAKI,1
McDucc,1
Middle,1
Milkmilkita,1
Monit0r,1
Montymog,1
NameAidan,1
Neptune888,26
NewYearsFreddy,1
Nicbo,7
Olun,1
OrionPvP,3
PapaGoofy,1
Publerincen,1
Ramen,1
Raspish,1
Reblxtemp3r,1
Redot,17
SAKE80,2
Sedatte,1
Seqsons,2
SkeppyCat,2
SkittlesTM,1
Sora,1
SpeedySapphire,1
Spycy,1
Stmz,1
Stradium,3
Subsy,4
Swirls,4
Tekoh,1
TorpedoTim64,2
Trystan,1
Twisst,2
UnholyCow,1
V_A_M,7
Valat,1
Weirdillusions,2
WolfCrafted,1
Wolthy,1
Wqlk,3
Xoads,3
Yawnless,13
Zopetto,1
Zyvra,3
_Anxxiety,1
adam,1
ash,2
cSyre,2
casey,13
cellwall,1
d_rodrigo,1
dog,2
embox,1
evites,4
frostyneedshelp,1
global,2
helpline,1
kaylie,2
krovic,2
kvids,2
lovebailey,4
lucxy,1
muffinyboyhalo,1
mvri,2
ok boomer,1
ql3c,1
rcgret,2
sSkiez,2
sadliar,3
stinkycat,1
theBigBang,1
universalt,3
velo,1
voidkay,1
wao,1
wetplace,1
xImmune,1
xRochy,1
xd_joe,1
xpainfulll,2
yumes,1
