names,score
1pick,11
4W9,1
69hd,1
Akatusuki,5
AtomicRaider2k,1
Aviv,4
Azuuree,1
BabyKrypto,4
Backwords,1
Benjiram,1
BlackVelvet666,2
BlankSpaceHere,1
BlueSnowBallMic,1
BreadLoaf_Keys,2
Caleux (Lucas),1
Captmarshmellow,1
Chainkiller,6
ChilledWolf,1
Clickies,2
Converging,2
DabOnDatCheese,1
Dottovu,2
DreamLogic,1
EKORamme,1
Eco,6
Exhil,1
FitzyPvP,5
Forcatchy,2
FortyFour,1
Foxify,2
FrostyyMC,1
GoldenMurphyMan,2
GoogleSearches,3
Hamster,2
Happy_Skeppy,1
Hawkeye Hollow,3
IIIITiz,1
I_AM_afraid,1
IcyHotHead,6
Imran,1
Insted,3
Invincible50,3
Jaimss,1
JamesJustJoined,6
JoeMS10,5
Joyoy0,3
JrBacca,1
Lauren,2
Laylim,1
Lumbrub,2
Mage,1
MagnitoIsAGod,1
MatiasCL,1
McDonalds,1
Middle,1
MiniC0ded,1
Momentum,2
MrDorito15,1
Neptune888,2
Nexurent,1
Nicbo,9
Notascendix,3
Nowy,1
OriginalBlaZe,1
OrionPvP,7
OwensThing,1
Pettle,1
Ramen,1
Redot,11
Rikhard_,1
SadLuna,1
Sariel,2
Seb,1
Serpent0406,5
Simplility,3
SkittlesTM,1
SlickBoy,1
Sora,1
SpaceUnit,1
SpeedySapphire,3
Stefos,1
Swirls,5
Talem,3
Tekoh,2
TorpedoTim64,1
ToxicalJolt,1
Twisst,2
Unnamedguy,1
V_A_M,13
Vainer,1
Valat,3
Voltwave,1
Weirdillusions,2
WolfCrafted,1
Xoads,2
Zeesgoツ,3
Zyvra,2
__Dragonslayer,2
adam,1
ameliaaaaa,3
angelcriied,1
badliar_,2
bondo,1
casey,6
d_rodrigo,1
distillable,1
dog,4
dxllas,1
embox,3
evites,9
faze ugly,1
fongus,1
fwequentie,3
hevex,2
katykat,1
kaylie,1
kvids,1
lovebailey,1
lucxy,1
myro,2
nottekoh,4
popthetags,1
ql3c,2
rashes,1
sadkai,1
sadliar,3
turtle0214,1
vQuil,1
vaxxi,1
velo,1
wetplace,2
wheresmymommy,2
x0roa,1
xd_joe,1
xenoskiller,1
