names,score
1pick,1
69hd,1
AloneTM,2
ApexWasabi,2
BlueSnowBallMic,1
Botwave,3
CallMeToxic,1
Clickies,1
Connor,2
Cryptoness,1
EKORamme,1
FitzyPvP,2
Foxify,1
Fudgie,1
Gxdda,1
Hamster,2
IcyHotHead,1
ImRayst,1
Invincible50,1
JamesJustJoined,2
Jedadah,1
JoinMolten,1
KittyKitty69,1
Lauren,1
LukeLovesCandy,1
Neptune888,1
NestaDiePie,1
Nicbo,1
Nicki,1
OrionPvP,1
Redot,4
S0V,1
SkeppyCat,2
StarZorrow,1
Stmz,1
Strqfe,1
Swirls,2
Talem,1
TeunMC,1
Twisst,1
V_A_M,2
Valat,1
Vooltron,1
Weirdillusions,1
Wqlk,1
Xoads,3
_Goomy,1
adam,1
ash,2
casey,1
democraticparty,1
dog,1
e_ic,1
embox,1
evites,1
fongus,1
fuukiii,1
fwequentie,1
hamoka,1
harrys0n,1
lessthanthree,1
lovebailey,1
lovejaidy,1
m_fonseca003,1
ok boomer,1
rashes,1
rcgret,1
vQuil,1
velo,3
yumes,1
