names,score
AdaptableRuben,1
Anyday Gaming,1
Apportioned,1
BlackVelvet666,3
Candi,1
Cool_man,1
DV4,1
Dave,1
Decay,3
GrimmEvoL,1
Gusuu,1
HyperFlames,1
ILikePeeVeePee,1
Insted,1
JamesJustJoined,1
JoeMS10,4
Lauren,2
Masterburn,1
Monit0r,2
Mystic370,1
Neptune888,5
Nicki,1
Ocaaaasek01,1
Pentala,1
Ramen,2
Redot,1
RundownHD,1
SlickBoy,1
SpaceUnit,2
Spycy,1
Squishyseaweed,1
Stickguy,1
Syd,1
TeunMC,1
UncleJimmy_yt,1
V_A_M,2
Weirdillusions,2
Yawnless,1
a1m0g,1
ash,1
bobepurple,1
casey,8
dog,2
frostyneedshelp,1
hamoka,2
katykat,2
kvids,1
lovejaidy,1
mainlee175,1
sadliar,3
thehydrogen,1
velo,1
zNoxius,1
