names,score
12yr,1
1pick,11
AirDog46,3
Akatusuki,4
AloneTM,1
ApexWasabi,1
AtomicRaider2k,6
Aviv,2
Azstar,1
BabyKrypto,4
Botwave,10
Camila,1
Dave,1
DerpDude,1
DoctaN208,1
EKORamme,15
Eco,6
FakeLoki_,1
FitzyPvP,1
Flured,7
FortnitePlayer,1
Foxify,1
FreeCoco,3
GAC,1
Glqmorous,7
GoogleSearches,2
H5,2
Hamodi,3
IcyHotHead,1
ImRayst,2
Insted,1
Invincible50,1
ItalicPie580,1
ItsYaBoiAlex14,1
Jaimss,3
Japan___,1
JoeMS10,1
Joyoy0,9
Lancciks,1
Lauren,1
Lawna,1
Laylim,1
Lonewulfx3,2
LuffyPuffy,1
Lumbrub,2
MatiasCL,1
McDonalds,5
McDucc,1
Misplqce,1
Momentum,5
Nefi,1
NerdSocial,2
Nexurent,1
Nicbo,6
Nicki,3
Nqovio,1
OrionPvP,5
Prevolt,2
Redot,5
Rikhard_,6
Rukuku 137,1
Sabotagin,1
SadLuna,1
Sariel,4
Seb,2
Sora,1
SpaceUnit,1
StarZorrow,2
Stardust,1
Summerr,1
Swirls,2
Tekoh,3
Voltwave,1
Weirdillusions,4
Yekaz,4
Zeesgoツ,5
_Anxxiety,3
__Dragonslayer,1
adam,3
aiht,3
ameliaaaaa,1
aod66,1
ash,3
cled,1
dog,6
embox,2
evites,5
faze ugly,2
hamoka,1
hevex,3
iMartines,1
kaylie,1
krovic,1
laura,5
lovebailey,1
lovejaidy,1
myro,1
nottekoh,13
nuhmb,1
sadliar,1
universalt,1
warper,1
wheresmymommy,4
