names,score
1pick,1
AdaptableRuben,1
Aeqz,1
AgentPanda_,1
AtomicRaider2k,1
BabyKrypto,1
Baldboyhalo1414,1
Bellasprout,1
Benjiram,1
BlankSpaceHere,2
BlueSnowBallMic,1
Botwave,2
Captmarshmellow,1
DaTurTelGod1,1
DabOnDatWIFI,1
Doodles4,1
Dottovu,1
DreamLogic,1
Fhax,11
FitzyPvP,2
FortyFour,1
FrostyyMC,3
GiantPoop,2
GoogleSearches,2
Gwenjii,2
Haizhe,1
Honor,2
IcyHotHead,1
InvadedLands,1
ItsYaBoiAlex14,2
Japan___,1
JoeMS10,6
Locci,1
LukeLovesCandy,1
Luna,1
Lynds,1
MagnitoIsAGod,1
Mattew,1
Nicbo,4
Olun,1
OrionPvP,1
Other,1
Panda,1
ProbablyAlex,1
Rhymings,1
Serpent0406,2
Simplility,9
SpaceUnit,5
System64,1
Unnamedguy,2
V_A_M,2
WasabiRaven,1
Weirdillusions,1
Wqlk,1
Z_Voltage,1
ameliaaaaa,1
badliar_,3
casey,12
cr3333pz,1
distillable,1
dog,1
evites,6
italicfan69,2
kvids,5
laura,1
leyaoeric,1
living_,2
lovebailey,5
lovejaidy,1
mvri,1
myro,1
rcgret,1
realarnutis,4
sSkiez,1
sadliar,2
scorbunny,1
unsentenced,2
vaxxi,1
wetplace,2
wheresmymommy,1
