names,score
AndyCrasher,1
Azstar,2
Brreak,1
CoocaCola,2
Cool_man,1
Eco,3
FitzyPvP,3
FortyFour,3
Gawks,1
HaederTheToast,2
IcyHotHead,9
Insted,2
Invincible50,7
JamesJustJoined,1
Jedadah,2
JoeMS10,6
Joyoy0,1
Kadenninja07,1
Lauren,1
Lonewulfx3,4
Lumbrub,4
Nicbo,1
Nicki,2
Notascendix,2
OrionPvP,1
Other,1
Pepe956,1
Ramen,2
Redot,1
Ring,1
RoyalDreary,2
S0V,1
Sasuke,1
SkeppyCat,1
SlickBoy,1
Swirls,1
Talem,1
TeunMC,6
V_A_M,20
Weirdillusions,1
XeroWins,1
Xoads,1
Zaceroo,1
__Dragonslayer,1
aiht,3
appelsin8,1
badliar_,1
beau_geste,1
casey,17
dog,13
embox,1
evites,2
hamoka,1
hevex,1
katykat,1
krovic,1
lovebailey,3
lucxy,1
myro,1
olmocap,1
ppeo,1
sadkai,1
sadliar,2
sugarkisses,1
swee,1
vQuil,1
voidkay,3
xJahseh,1
xSquid3997,1
yuko_x,1
