names,score
1pick,3
Akatusuki,1
Anyday Gaming,3
Aviv,1
BlackThunder447,1
BlockyCadet,1
BlueSnowBallMic,1
BreadLoaf_Keys,1
Chisasfam,2
CoocaCola,1
Cookie,3
DDRNSTPMGMX,1
Dave,1
Eco,1
Gusuu,1
Honor,1
Hydrozing,1
IcyHotHead,1
IsaacThePenguin,1
ItsYaBoiAlex14,2
Jaimss,2
JamesJustJoined,7
JoeMS10,1
Laylim,1
Loonest,1
MaNemEvan,1
McDonalds,1
Mqzen,1
Neptune888,11
NewYearsFreddy,1
Nicbo,3
OrionPvP,1
Publerincen,1
Redot,2
RoneCraft,1
S0V,1
SAKE80,1
SSeige,1
SirLuc,2
SkeppyCat,1
Stmz,1
Subsy,8
Talem,1
TeunMC,1
Trystan,3
V_A_M,1
Yawnless,15
casey,3
cowFrickerTheOG,1
d_rodrigo,1
italicfan69,1
lovebailey,1
ninvm_,1
nottekoh,1
