names,score
1pick,1
AtomicRaider2k,1
Ben,1
Botwave,1
BreadLoaf_Keys,3
Chik3n,1
Cookie,1
DirectInfiniteYT,1
Eco,2
FakeLoki_,1
FitzyPvP,1
FrostyyMC,1
GoldenMurphyMan,1
GoogleSearches,3
Insted,1
InvadedLands,1
Invincible50,1
ItsYaBoiAlex14,1
JoeMS10,2
Joyoy0,1
KingLoLoHP,1
Lancciks,1
Lonewulfx3,2
Lumbrub,2
MM_TAKI,2
Neptune888,2
Nequli,1
NestaDiePie,1
Nicbo,1
OrionPvP,5
Redot,1
Serpent0406,1
SpaceUnit,1
Talem,1
Tocket,1
TorpedoTim64,1
V_A_M,4
WasabiRaven,1
Weirdillusions,4
Wqlk,3
X_N1K0_X,1
Zopetto,1
Zyvra,1
_Anxxiety,1
__Dragonslayer,2
casey,4
cowFrickerTheOG,1
embox,1
evites,4
lovebailey,3
mvri,1
pat_3,1
popthetags,2
unicornbetrayal,1
wheresmymommy,1
xJahseh,1
