names,score
1pick,1
Akatusuki,2
ApexWasabi,1
BreadLoaf_Keys,1
Caleux (Lucas),2
Connor,2
Cookie,1
DaDonut,1
Decay,1
Etshaw,1
GiantPoop,1
GoldenMurphyMan,1
Gusuu,1
IcyHotHead,1
Insted,1
Jaimss,6
JamesJustJoined,1
JoinMolten,1
Kayloo,1
Lauren,1
Laylim,4
Lonewulfx3,1
Loonest,2
Lumbrub,1
MatiasCL,1
Neptune888,4
OrionPvP,3
Redot,3
Smakina,1
SwagBoy44444,1
Swirls,4
Th3ftx,1
TheOreo,1
Twisst,1
V_A_M,1
Weirdillusions,2
Wqlk,3
Xoads,2
Yawnless,1
Zopetto,1
ash,2
bluedragonfly4,1
d_rodrigo,5
embox,1
frostyneedshelp,2
kaylie,2
lovebailey,2
m_fonseca003,1
monkeyman,1
mvri,1
rcgret,1
ryan,1
sadliar,1
velo,1
yumes,2
