names,score
1pick,12
69hd,1
Abodz,1
AirDog46,1
Akatusuki,3
AloneTM,1
AndyCrasher,1
Anyday Gaming,1
Aviv,1
Azstar,1
BMBradleyYT,1
BabyKrypto,4
Benjiram,1
BlackVelvet666,3
Botwave,1
BreadLoaf_Keys,1
Captmarshmellow,2
CelticKestrel,1
Chik3n,1
ChilledWolf,1
Clickies,1
Connor,2
DabOnDatCheese,1
Dave,1
Decay,2
Doodles4,2
Dottovu,1
DreamLogic,1
Dufji,3
EKORamme,1
Eco,4
Edwinium,2
Elementalish,1
Erkku,1
Eztap,1
FortnitePlayer,2
Foxify,1
FrostyyMC,4
GoldenMurphyMan,5
Golden_,1
GoogleSearches,4
Hydrozing,1
IcyHotHead,5
ImRayst,2
Insted,1
Invincible50,9
IrishGirl210,1
ItsYaBoiAlex14,7
Jaimss,1
JamesJustJoined,4
JoeMS10,4
JoinMolten,1
Jorb,2
Joyoy0,1
Killwave,2
Kobuto,1
Lauren,3
Lawna,1
Laylim,5
Lonewulfx3,2
Lumbrub,3
Matthijsjee,2
McDonalds,2
MiniC0ded,1
Misplqce,1
Momentum,1
Monit0r,1
Neptune888,11
NestaDiePie,1
Nicbo,5
Nicki,7
Nivika,1
Notascendix,1
Nucker,1
OrionPvP,4
Otingus,1
PapaGoofy,1
R143,1
Ramen,2
Redot,14
RichieInDaBox,2
S0V,2
SadLuna,1
Seqsons,1
Serpent0406,2
Simplility,3
SkeppyCat,4
Sleiru,1
SpaceUnit,3
SpeedySapphire,1
Stardust,1
Stradium,1
Subsy,1
Summerr,2
Swirls,2
System64,1
Tekoh,1
TeunMC,4
TheSavageDudeYT,1
Trystan,2
Twisst,1
V_A_M,16
Valat,2
Weirdillusions,1
WhoIsCayden,1
Wolthy,2
Xoads,3
Yawnless,1
Zigelz,1
adam,1
aerei,1
ash,7
badliar_,1
blue_and_friends,1
cSyre,15
casey,33
cellwall,1
cled,1
dog,2
dxllas,1
embox,4
equilen,1
evites,12
fongus,1
frostyneedshelp,1
global,1
hevex,1
italicfan69,1
katykat,9
kaylie,3
krovic,2
kvids,3
lovebailey,4
lovejaidy,1
lukaplayz,2
m_fonseca003,2
muffinyboyhalo,3
ninvm_,1
nuhmb,2
popthetags,1
ql3c,1
rcgret,2
sSkiez,1
sadkai,1
sadliar,8
succesfully,1
sugarkisses,1
swee,1
thehydrogen,2
voidkay,1
yumes,1
zBoscaYolo,1
