names,score
1pick,8
AirDog46,2
Akatusuki,2
AloneTM,1
Aviv,3
BMBradleyYT,1
Benjiram,1
BlackVelvet666,3
BlankSpaceHere,2
BlueSnowBallMic,6
BreadLoaf_Keys,1
Buddy,1
Cameron Kay,1
Captmarshmellow,1
Clickies,1
Cyber_1,1
DaDonut,1
DaTurTelGod1,4
Dave,7
DelmarLysol,1
DjSpiritas,1
DreamLogic,1
EKORamme,1
EightPoint,1
Eztap,1
FitzyPvP,8
FlakJac,1
Flightz,1
FortyFour,1
FrostyyMC,9
GiorgioLocatelli,1
GoldenMurphyMan,6
Golden_,1
GoogleSearches,1
Hamster,1
HeckTheThicc,1
I_AM_afraid,1
IcyHotHead,2
Imran,1
Insted,6
Invincible50,8
ItalicPie580,1
ItsYaBoiAlex14,7
Jaimss,3
JamesJustJoined,5
Japan___,2
JoeMS10,13
Joyoy0,5
Lancciks,1
Lauren,1
Laylim,8
LightUpSkechers_,1
Lumbrub,3
MagnitoIsAGod,1
McDonalds,2
Men,1
MiniC0ded,1
Momentum,8
Mqzen,1
Neptune888,14
NestaDiePie,1
Nicbo,28
Notascendix,3
OrionPvP,10
Pettle,1
ProudToBeTrans,1
RedStoneManYT,1
Redot,4
RundownHD,1
SadLuna,1
Sariel,1
Sasuke,1
Seqsons,1
Serpent0406,9
Simplility,5
SkeppyCat,1
SlickBoy,1
SmoothVibes,1
SpaceUnit,7
StarZorrow,1
Stardust,1
Stmz,2
Subsy,2
Summerr,1
Swirls,1
TheReks,1
Tomato5,1
TorpedoTim64,2
Twisst,2
UncleJimmy_yt,1
V_A_M,24
Vainer,2
Valat,1
Weirdillusions,7
WhoIsCayden,1
Wqlk,1
XXAJEE,1
Xelvy,1
Xoads,3
Xx_L1am_xX,1
Yawnless,3
Zenzsa,1
ZippyYX,2
aiht,1
ash,3
belle,2
casey,20
d_rodrigo,5
dfly0508,1
dog,3
ericc,1
evites,45
goofy_monk3y,1
harrys0n,1
hevex,3
katykat,13
krovic,1
kvids,15
living_,1
lovebailey,6
lucxy,3
m_fonseca003,1
muffinyboyhalo,4
mvri,2
myro,2
ok boomer,2
pat_3,1
popthetags,3
rashes,1
sSkiez,1
sadliar,1
succesfully,1
swervah,1
unsentenced,1
velo,2
voidkay,3
warper,1
wheresmymommy,1
xSquid3997,1
xolt10,1
