names,score
1pick,1
AirDog46,1
Akatusuki,1
ApexWasabi,1
BabyKrypto,4
BlackVelvet666,1
Botwave,1
Captmarshmellow,1
DirectInfiniteYT,1
Doodles4,1
Dottovu,1
DreamLogic,6
EKORamme,1
Eco,1
FitzyPvP,5
Flured,1
FortnitePlayer,1
Glqmorous,1
HyperFlames,2
IceWolf,1
Invincible50,1
Japan___,1
JoeMS10,2
Kwurz,1
Lauren,5
Neptune888,1
Nicbo,1
Nicki,1
NotreioN,1
Olun,1
OrionPvP,1
Prevoke,1
S0V,1
Serpent0406,3
Simplility,1
Sora,1
SpaceUnit,1
Swirls,1
System64,1
T_DarkGamer,1
Tekoh,1
V_A_M,2
Voxuh,1
Weirdillusions,1
Zeesgoツ,1
Zyvra,1
aiht,1
akise_oof,1
ameliaaaaa,1
ayyitsjayy,1
badliar_,1
cowFrickerTheOG,1
della,1
dog,2
encription,1
evites,2
hamoka,1
helpline,1
katykat,1
laura,1
lovebailey,1
not not helpline,1
olmocap,1
sushi,1
sweetiebowe,1
turtle0214,2
voidkay,1
zBoscaYolo,1
