names,score
1pick,1
Aviv,1
AzMaaX,2
Benjiram,1
BlueSnowBallMic,1
Cookie,2
DerpDude,1
Edwinium,1
EmersonVAE,1
FakeLoki_,1
GAC,1
GoldenNinja04,1
Gusuu,1
Jaimss,4
JamesJustJoined,2
Luna,1
MatiasCL,1
Matthijsjee,1
Neptune888,9
Nicbo,1
Nicki,1
Nucker,1
OrionPvP,1
Redot,1
SSeige,2
SpaceUnit,1
Stmz,1
V_A_M,1
Weirdillusions,4
Yawnless,2
badliar_,1
cSyre,1
casey,1
evites,1
hamoka,1
italicfan69,1
kaylie,1
krovic,1
lovebailey,1
m_fonseca003,2
noktw,3
ok boomer,1
rcgret,1
realarnutis,1
xRochy,1
xpainfulll,1
yakovliam,3
yumes,1
