names,score
1pick,1
Aviv,1
Benjiram,1
BlackVelvet666,1
Boingo8,1
BreadLoaf_Keys,3
CakeMan710,1
DaTurTelGod1,1
Doodles4,1
EKORamme,1
Endgator,1
FrostyyMC,1
Insted,1
Invincible50,2
Jaimss,1
JamesJustJoined,1
JoeMS10,2
Kayloo,1
Kxffeine,1
Lumbrub,1
Masterburn,1
Momentum,2
Monit0r,1
NerdSocial,1
RechraHCF,1
Redot,1
RundownHD,1
S0V,1
Sariel,1
Serpent0406,2
Simplility,1
SpaceUnit,1
Sweady,1
Threewn,1
Unnamedguy,1
WhoIsCayden,1
Wolthy,2
Yawnless,1
_Anxxiety,1
ambiients,1
badliar_,1
cSyre,2
casey,1
cr3333pz,2
evites,1
katykat,1
lovebailey,2
muffinyboyhalo,1
rcgret,1
