names,score
1pick,15
AB987,1
Audio_Brownie,1
Azstar,1
BlueSnowBallMic,1
Camila,1
Dqniel,1
FitzyPvP,1
FortnitePlayer,4
Fudgie,2
Golden_,1
GoogleSearches,1
Hawkeye Hollow,1
JamesJustJoined,2
JoeMS10,3
JoinMolten,1
Lumbrub,3
McDucc,1
Neptune888,4
Nicbo,1
Nicki,2
Orange Lion,1
OrionPvP,1
Ramen,1
Redot,1
Rikhard_,1
SkeppyCat,4
Smurf,1
Sora,3
Spycy,2
Swirls,1
Taqhesiquan,1
Tekoh,1
UncleJimmy_yt,1
V_A_M,1
VestaLT,1
WillyTPlayz,1
Zigelz,1
Zyvra,3
ameliaaaaa,1
ash,2
cSyre,1
casey,3
dog,9
evites,2
global,1
kaylie,1
kvids,1
latl,1
lovebailey,1
sushi,1
universalt,1
