names,score
1pick,3
4G7,1
AirDog46,2
Akatusuki,2
Arth795,1
Azstar,1
BlackVelvet666,1
BlueSnowBallMic,1
Botwave,1
BreadLoaf_Keys,14
Byzon,2
Candi,1
Coastal_4,1
Connor,2
Cookie,1
Cool_man,1
DDRNSTPMGMX,3
DaDonut,2
DaTurTelGod1,2
Dave,1
Decay,1
DiamondPower,1
DuskAwaitsUs,1
Etshaw,2
FitzyPvP,2
FortyPercent,1
GlitchyCube,1
GoldenNinja04,1
GrimmEvoL,1
Hira,1
ISpexI,1
IcyHotHead,5
Invincible50,7
Jaimss,3
JamesJustJoined,6
Kayloo,1
Kxffeine,1
Ky,1
Lauren,1
Lazer_prez,1
LuckyBlockJack,1
Lumbrub,1
MagnitoIsAGod,1
Momentum,2
Neptune888,11
Nicbo,4
Obi,1
OrionPvP,4
Periys,1
Pinevole,1
Ramen,1
Redot,2
Roi24,1
RoxasFA,1
RoyalDreary,1
Scalings,1
Seqsons,1
Serpent0406,2
Simplility,3
SkeppyCat,1
SkeppyJr,1
SkittlesTM,1
Smakina,1
SpaceUnit,13
Subsy,1
Suksum,1
Summerr,3
SwagBoy44444,1
TheTimeDefender,1
Twisst,1
UpbeatKnot43716,1
V_A_M,10
Vainer,1
Weirdillusions,3
WendaF,1
WillyTPlayz,1
Wqlk,1
X_N1K0_X,1
Xoads,1
Yawnless,1
a1m0g,1
ambiients,1
buffman60,1
cSyre,5
casey,12
d_rodrigo,2
evites,3
hevex,1
katykat,3
lovebailey,1
miah,2
ql3c,1
rcgret,3
sadliar,2
superplex25,1
universalt,2
velo,2
wclls,1
xgnRelics,1
zJavaError,2
