names,score
1pick,2
4G7,1
AB987,1
AirDog46,1
ApexWasabi,1
Apportioned,5
BabyKrypto,4
BlackVelvet666,1
BlueSnowBallMic,1
BreadLoaf_Keys,6
Candi,1
Chik3n,1
Chisasfam,1
Connor,8
Cookie,1
Coolman,1
DaDonut,2
Dave,1
DoctaN208,2
Doodles4,3
Elementalish,2
EmersonVAE,1
FitzyPvP,1
FortyFour,1
Glqmorous,1
GoldenMurphyMan,1
GoogleSearches,1
Gusuu,2
Hawkeye Hollow,1
Hydrozing,2
HyperFlames,2
I_Love_Mega_Zelk,1
IcyHotHead,1
Insted,2
ItalicPie580,1
JJ0502,1
JN83,1
JamesJustJoined,23
Jet,1
Lancciks,4
Loonest,1
Lumbrub,3
Lynds,1
MicroWarrior00,1
Misplqce,1
Mqzen,3
NameAidan,1
Neptune888,38
NewYearsFreddy,1
Nicbo,5
NonCreativ3,2
Nyor,1
OrionPvP,1
PapaGoofy,3
Pentala,1
Redot,17
RoxasFA,1
RundownHD,1
S0V,1
Serpent0406,2
Soda,1
SpaceUnit,1
Stardust,1
Stradium,1
Subsy,13
SwagBoy44444,1
Swirls,1
TeunMC,1
TheOreo,2
TheTimeDefender,1
Trystan,1
UpbeatKnot43716,1
V_A_M,12
Vatrea,1
Weirdillusions,1
Wolthy,2
Xoads,1
Yawnless,20
_Goomy,1
__Strength__,1
adam,1
ash,1
astroepengee,1
badliar_,1
cSyre,6
casey,6
didgital,1
frostyneedshelp,3
hevex,1
iMedia,1
katykat,3
kaylie,1
laura,1
living_,1
lovebailey,1
lukaplayz,1
m_fonseca003,2
muffinyboyhalo,4
noktw,2
panicbrendon,1
pat_3,1
ql3c,1
rcgret,4
sadliar,3
universalt,5
velo,2
wclls,1
xVurs,1
yumes,1
zJavaError,2
