names,score
1pick,3
4G7,1
AirDog46,2
Akatusuki,12
Ant,1
Apportioned,2
Aviv,1
BabyKrypto,4
Bellasprout,2
Benjiram,2
BlackVelvet666,3
BlueSnowBallMic,2
Botwave,1
BreadLoaf_Keys,4
CakeMan710,2
Caleux (Lucas),1
CasualWeird,1
Chisasfam,1
Clickies,1
Coastal_4,1
Connor,4
CoocaCola,2
Cookie,1
Cornelis03,1
DDRNSTPMGMX,1
DaDonut,2
DaTurTelGod1,2
Dave,4
DreamLogic,1
DuelGodXX,1
Elbest,1
EmberAydin,2
FakeLoki_,1
FitzyPvP,10
FortyPercent,1
FrostyyMC,2
Fudgie,1
GiantPoop,3
GoldenMurphyMan,5
Gusuu,2
HeckTheThicc,1
Hydrozing,1
ISpexI,3
IcyHotHead,2
Imran,1
Insted,1
InvadedLands,1
Invincible50,1
IsaacThePenguin,2
ItalicPie580,1
ItsYaBoiAlex14,4
Jaimss,21
JoeMS10,12
Jorb,3
Joyoy0,1
KittyKitty69,1
Kobuto,1
Kxffeine,1
LadiesHitMeUp,1
Lauren,3
Laylim,5
Lonewulfx3,10
LuckyBlockJack,1
LukeLovesCandy,1
Lumbrub,6
MASKBOYMARCEL,1
MM_TAKI,1
MagnitoIsAGod,4
Majeranek,1
MatiasCL,1
McDonalds,9
Momentum,2
Monit0r,4
Mqzen,9
Neptune888,57
NewYearsFreddy,3
Nicbo,29
Nicki,2
NonCreativ3,6
OrionPvP,4
Otingus,1
Pentala,1
Publerincen,1
Rcny,1
Red_Hacker,1
Redot,22
RexizX,2
RoyalDreary,1
S0V,2
Seqsons,1
Serpent0406,2
Simplility,1
SkeppyCat,3
SpaceUnit,8
Stmz,2
Stridingg,2
Subsy,29
SwagBoy44444,1
System64,1
Th3ftx,2
TheSavageDudeYT,1
TorpedoTim64,3
Trystan,8
Twisst,2
UnoReverseCaard,1
V_A_M,17
Vatrea,2
Weirdillusions,8
WolfCrafted,4
Wqlk,1
Xyst_,2
Yawnless,5
Zyvra,1
_Anxxiety,1
ash,9
astroepengee,1
badliar_,3
cSyre,4
casey,49
cowFrickerTheOG,1
d_rodrigo,12
djenson,1
dog,3
embox,4
evites,8
flash,1
frostyneedshelp,5
hamoka,3
heytylerreid,1
iMedia,1
katykat,1
kaylie,1
kvids,3
lovebailey,4
lovejaidy,1
lucxy,1
lukaplayz,1
m_fonseca003,3
miah,1
muffinyboyhalo,5
mvri,4
myro,1
ok boomer,1
panicbrendon,2
pat_3,1
popthetags,1
ql3c,1
rcgret,2
sSkiez,2
sadliar,10
swee,2
thehydrogen,2
vaxxi,1
velo,3
wheresmymommy,1
xSquid3997,1
yeetmlg,1
yumes,1
zJavaError,1
