names,score
AKJenn,1
AdaptableRuben,1
BlackVelvet666,9
Dave,4
Doodles4,1
DreamLogic,1
FluffyPancakes1,1
Gardevoir,1
Hoghs,1
ILikePeeVeePee,1
Insted,2
Jaimss,1
JoeMS10,9
JoinMolten,1
Kayloo,1
KingLoLoHP,1
KittyKitty69,12
MathMeetsScience,1
NestaDiePie,2
Ocaaaasek01,1
Olun,1
QueefingDorito,1
Redot,1
Simplility,1
SkeppyJr,1
SpaceUnit,3
Spook_uwu,1
Spycy,2
System64,2
TeunMC,1
UnholyCow,1
V_A_M,5
Vooltron,1
Wqlk,2
Yawnless,1
badliar_,1
cSyre,1
casey,80
dog,1
du9,2
evites,3
greenpastel,1
katykat,7
kvids,5
lovebailey,1
lovejaidy,1
mvri,2
sadliar,1
vaxxi,1
velo,1
