names,score
1pick,7
AdaptableRuben,1
AdieVL,1
Aerobyte,1
AgentPanda_,1
AirDog46,1
Akatusuki,3
Anyday Gaming,1
AzMaaX,2
Azuuree,1
BabyKrypto,5
Baldboyhalo1414,1
Belle Delphine❤,1
BlackVelvet666,1
BlankSpaceHere,4
BlueSnowBallMic,1
BraddorzYT,1
BreadLoaf_Keys,1
Brizly,1
Bumpqin,1
CakeMan710,5
Caleux (Lucas),1
Camila,1
Candi,3
Captmarshmellow,1
Clickies,1
Coastal_4,1
Connor,6
Cookie,3
Cool_man,3
DaDonut,2
DaTurTelGod1,1
Dave,13
Decay,6
DelmarLysol,5
Doodles4,1
Dottovu,2
Dqniel,1
DreamLogic,5
Dufji,1
Eco,3
Emerald,1
Falko,2
FitzyPvP,1
FluffyPancakes1,1
Foxify,2
Fudgie,1
GiantPoop,1
GlitchyCube,1
GoogleSearches,1
Gremaux,1
GrimmEvoL,1
Gusuu,4
HaederTheToast,10
HairBalding,1
Hau,1
Helpful Fox,1
Honor,1
IIIITiz,1
ILikePeeVeePee,2
IcyHotHead,6
Insted,271
Invincible50,2
ItalicPie580,1
ItsYaBoiAlex14,4
Jaimss,3
JakobActually,1
JamesJustJoined,34
Jaws,1
JayProLaser,1
Jedadah,72
JoinMolten,3
Kayloo,3
KimJonqUn,1
KittyKitty69,5
Kobbie,2
Kxffeine,1
Ky,2
Lauren,15
Lawna,1
Lonewulfx3,4
Lumbrub,5
Lynds,4
MaNemEvan,2
MagnitoIsAGod,3
Masterburn,2
McDonalds,3
Middle,3
MiniC0ded,1
Momentum,1
Mxxrcell,2
Neptune888,20
NestaDiePie,6
Ngamer7,1
Nicbo,32
Notascendix,1
OrionPvP,3
OwO_Penguin,1
Periys,1
Pettle,1
Ramen,2
Redot,5
RichieInDaBox,1
RoxasFA,2
RoyalDreary,2
RyanDo,1
S0V,1
SFvin,1
Sander0410,2
Serpent0406,3
Simplility,5
SkeppyCat,3
SkeppyJr,1
SkeppyV2,1
SpaceUnit,16
Spycy,5
Stardust,1
Stradium,2
Subsy,2
Swirls,1
System64,1
TeunMC,24
Th3ftx,1
TorpedoTim64,1
Trystan,1
UnholyCow,2
V_A_M,26
Vooltron,1
WasabiRaven,1
Weirdillusions,2
Wolthy,1
Wqlk,2
Yawnless,1
Zaceroo,1
Zlolkill,1
Zyvra,1
_Aubrey,1
_Goomy,4
aiht,2
ash,10
astroepengee,2
badliar_,1
bondo,1
buffman60,1
cSyre,3
casey,127
d_rodrigo,4
dog,7
embox,3
encription,1
evites,37
goawayimhigh,4
greenpastel,4
hamoka,3
hevex,1
ipaid4linux,1
its_me_liv_,1
katykat,24
kaylie,3
krovic,1
kvids,24
lovebailey,16
lovejaidy,5
lovemisty,2
lucxy,1
muffinyboyhalo,7
murrumbateboy44,1
mvri,10
octaviez,1
ophen,1
panicbrendon,4
podoqob,2
popthetags,4
rcgret,3
s3h,1
sSkiez,1
sadkai,2
sadliar,6
swervah,2
universalt,4
uwuJordan,1
vaxxi,1
velo,8
wao,1
xImmune,1
xSquid3997,1
yezzymoni,1
ynwYelo,1
zNoxius,2
