names,score
AgentPanda_,1
AirDog46,1
Anyday Gaming,1
Apportioned,2
Aviv,1
Azuuree,1
BabyKrypto,3
BlackVelvet666,2
BlueSnowBallMic,1
Captmarshmellow,1
Chainkiller,1
Connor,1
Dave,1
Decay,2
DoggyDoge,1
Edwinium,1
Elementalish,1
FitzyPvP,4
GoogleSearches,1
Gusuu,1
ImRayst,1
Invincible50,7
ItsYaBoiAlex14,1
Jacob,2
JamesJustJoined,10
Kayloo,1
Lancciks,1
Laylim,8
Loonest,1
Lumbrub,1
MASKBOYMARCEL,1
MagnitoIsAGod,1
Majeranek,1
McDonalds,5
Monit0r,1
Mqzen,1
Neptune888,16
Nicbo,3
Nicki,1
OrionPvP,1
Redot,4
S0V,1
Sasuke,1
SirLuc,1
SmackyDahFrog,1
SpaceUnit,1
Subsy,1
Summerr,1
Swirls,2
TensiveWolf8599,1
TomDudeGamerYT,1
TorpedoTim64,3
V_A_M,7
Vainer,1
Valat,2
Weirdillusions,1
Wqlk,2
Yawnless,1
badliar_,1
cFusion,1
casey,4
d_rodrigo,1
deathplayz2008,1
embox,1
evites,3
goawayimhigh,1
m_fonseca003,1
panicbrendon,1
sSkiez,1
thehydrogen,1
xSquid3997,1
