names,score
8Pint,1
AgentPanda_,2
AirDog46,1
Akatusuki,9
BabyKrypto,1
BlackVelvet666,1
BreadLoaf_Keys,3
Brizly,1
CakeMan710,5
Candi,2
Captmarshmellow,3
Coastal_4,1
Connor,1
Cookie,3
DDRNSTPMGMX,1
DaTurTelGod1,1
Dave,1
Dottovu,1
DreamLogic,2
Dufji,1
Eco,1
Elementalish,3
FitzyPvP,2
FrostyyMC,1
FutureIsBae,1
GoldenMurphyMan,1
Gusuu,1
Hamilton,2
IcyHotHead,8
Insted,3
InvadedLands,1
Invincible50,2
ItalicPie580,18
ItsYaBoiAlex14,4
Jacob,1
Jaimss,1
JamesJustJoined,4
Jedadah,1
JoeMS10,13
KaylooAlt,2
Lancciks,2
Lonewulfx3,2
Lumbrub,1
Luna,1
MaNemEvan,5
MagnitoIsAGod,2
Majeranek,2
McDonalds,2
Momentum,1
Neptune888,11
NestaDiePie,1
Nicbo,4
Nicki,1
Nowy,1
OrionPvP,17
Peksx,2
Pezza200,1
Redot,1
RyanDo,1
Sedatte,1
Serpent0406,1
Skelly1134,1
SkeppyCat,3
SkeppyJr,1
SpaceUnit,5
Summerr,1
Talem,1
Target_edge,1
TeunMC,3
Th3ftx,1
TheTimeDefender,1
TorpedoTim64,2
Trystan,1
V_A_M,2
Vainer,3
WasabiRaven,1
WickedAvtaar,1
Wolthy,4
Wqlk,3
Zopetto,1
ZsCortzone,2
Zyvra,2
_Goomy,2
a1m0g,1
adam,1
alertall,1
ash,5
bobepurple,1
cSyre,4
casey,28
cowFrickerTheOG,2
d_rodrigo,2
dog,12
drut,1
evites,12
firehond,1
frostyneedshelp,1
greenpastel,1
iMartines,1
italicfan69,1
katykat,5
kvids,7
lovebailey,1
lovejaidy,4
lowCrxstals,1
miah,2
muffinyboyhalo,7
mvri,5
ninvm_,1
poolparty,1
popthetags,5
rcgret,3
sSkiez,2
unsentenced,1
vaxxi,3
velo,1
xSquid3997,2
xVurs,1
