names,score
1pick,1
Aeqz,1
Akatusuki,1
Baldboyhalo1414,1
Brizly,1
Connor,3
Cookie,1
DDRNSTPMGMX,1
DaTurTelGod1,3
Dave,4
Dino,69
DreamLogic,1
DuelGodXX,1
Insted,104
ItalicPie580,2
ItsYaBoiAlex14,1
JamesJustJoined,1
Jedadah,24
Jet,1
JoeMS10,4
JoinMolten,1
Ky,1
Lauren,1
MagnitoIsAGod,1
Neptune888,4
NestaDiePie,1
Nicbo,3
OrionPvP,6
Periys,1
RoxasFA,1
Serpent0406,1
SkittlesTM,1
SpaceUnit,2
SpeedySapphire,1
StarGamesX,1
Subsy,1
TeunMC,1
Trystan,1
V_A_M,2
Vooltron,1
Wqlk,1
Yawnless,1
ash,1
casey,31
dog,4
evites,7
foomf,2
goawayimhigh,2
greenpastel,1
katykat,2
kkhan,1
kvids,4
lovebailey,3
lovejaidy,3
muffinyboyhalo,2
mvri,7
olleiei,1
sadliar,3
scorbunny,1
yumes,1
