names,score
Akatusuki,1
Auxies,1
BabyKrypto,1
Baldboyhalo1414,1
BlackVelvet666,2
Booplayz,2
BreadLoaf_Keys,4
CallMeToxic,1
Captmarshmellow,3
DaTurTelGod1,1
Doodles4,1
Dottovu,1
DuelGodXX,1
Eco,1
Ernsburns,1
FitzyPvP,3
Fudgie,3
Hawkeye Hollow,1
ItsYaBoiAlex14,6
Jaimss,2
Jet,1
Lauren,1
Laylim,2
Lumbrub,7
MagnitoIsAGod,2
McDonalds,1
Mihaitai,1
Momentum,1
Obi,1
OrionPvP,1
Pettle,2
Reblxtemp3r,1
Redot,2
Skaupe,1
SpaceUnit,6
StarGamesX,1
Summerr,2
Th3ftx,1
Vainer,1
WasabiRaven,2
Wolthy,1
Wqlk,5
ayyitsjayy,1
badliar_,4
cSyre,1
casey,6
dog,1
evites,2
flash,1
katykat,2
living_,1
lovebailey,2
muffinyboyhalo,1
rcgret,9
sSkiez,1
universalt,1
xImmune,2
zJavaError,1
