names,score
1pick,12
AndyCrasher,3
Anonymizing,2
ApexWasabi,2
Apportioned,1
Azuuree,1
BabyKrypto,1
Benjiram,1
BlackVelvet666,3
Brizly,1
Bruva,1
Candi,2
Connor,1
Dave,12
Decay,2
DelmarLysol,1
DjSpiritas,1
Doodles4,1
DreamLogic,7
Elementalish,1
FitzyPvP,11
Forcatchy,1
GlitchyCube,1
GoldenMurphyMan,1
GoogleSearches,6
HyperFlames,2
I_AM_afraid,1
IcyHotHead,1
Insted,1
Invincible50,1
JJ0502,1
Jaimss,2
JamesJustJoined,8
Jedadah,1
Jesting,1
Jinthus,1
JoeMS10,10
JoinMolten,2
KingLoLoHP,1
KittyKitty69,2
Ky,2
Lancciks,1
Lawna,1
Laylim,2
Lumbrub,2
Lynds,2
MagnitoIsAGod,1
McDonalds,1
McDucc,2
Middle,1
Mihaitai,1
Mqzen,1
Neptune888,13
NestaDiePie,1
Nicbo,5
NonCreativ3,1
Nucker,1
OrionPvP,2
Redot,4
S0V,1
Seqsons,1
Simplility,1
SkeppyCat,2
SpaceUnit,4
SpeedySapphire,1
Spycy,1
Stardust,1
Stradium,1
Swirls,7
Tekoh,1
TeunMC,1
Th3ftx,1
V_A_M,9
Weirdillusions,2
Wqlk,1
Xoads,1
_Goomy,1
ash,3
casey,3
d_rodrigo,3
distillable,1
dog,3
embox,1
evites,4
fongus,1
frostyneedshelp,2
greenpastel,2
hevex,1
ice,1
katykat,3
lovebailey,5
lukaplayz,1
muffinyboyhalo,1
mvri,1
panicbrendon,1
ql3c,1
sadliar,1
vaxxi,2
voidkay,1
xXWitchyestXx,1
