names,score
1pick,7
AirDog46,1
Akatusuki,6
Apportioned,2
BabyKrypto,6
Big_Nick_Energy,1
BlueSnowBallMic,1
BreadLoaf_Keys,2
CakeMan710,2
Coastal_4,3
Connor,4
DaTurTelGod1,1
Decay,5
DreamLogic,1
Eco,2
Edwinium,2
Elementalish,6
Erkku,1
FitzyPvP,12
Foxify,1
FrostyyMC,3
Gardevoir,1
GiantPoop,2
Gusuu,1
HaederTheToast,1
Hawkeye Hollow,1
ISpexI,2
IcyHotHead,3
ImRayst,1
Insted,4
InvadedLands,1
Invincible50,6
ItsYaBoiAlex14,2
JamesJustJoined,16
Jerry,1
JoeMS10,2
Jorb,3
Kadenninja07,1
Kayloo,1
KingLoLoHP,1
Lauren,6
Lilysindy,1
Locci,1
Lonewulfx3,2
Lumbrub,4
MatiasCL,1
McDonalds,6
MeSoRand0m,1
Meinex,1
Monit0r,2
Mxie,1
Neptune888,44
Nicbo,6
Nicki,5
OrionPvP,2
Pentala,1
Preceding,1
Reblxtemp3r,1
Redot,19
Rhymings,1
Rikhard_,1
S0V,2
Seqsons,1
Serpent0406,2
SkeppyCat,1
SkittlesTM,1
Smakina,2
Sora,2
SpaceUnit,1
Stmz,1
Subsy,2
Summerr,1
SwagBoy44444,1
Swirls,22
Talem,1
TeunMC,1
Th3ftx,1
Twisst,1
V_A_M,17
Weirdillusions,10
WolfCrafted,1
Wqlk,3
Xelvy,1
Xoads,4
Xyst_,1
Zlolkill,1
Zopetto,1
a1m0g,1
allen17,1
ambiients,1
ameliaaaaa,1
ash,9
bluedragonfly4,1
casey,11
cowFrickerTheOG,1
d_rodrigo,2
deathplayz2008,1
dim0ski,1
dog,1
embox,3
evites,7
frostyneedshelp,7
fxrefly,1
greenpastel,1
hamoka,4
helpline,1
hevex,2
ice,2
italicfan69,1
its_me_liv_,1
katykat,2
lovebailey,4
lovejaidy,1
lukaplayz,1
miah,1
mvri,1
myro,1
nuhmb,1
ql3c,1
rcgret,1
sSkiez,1
sadliar,2
stinkycat,1
sugarkisses,1
universalt,1
velo,3
xSquid3997,4
xd_joe,1
