names,score
0blivionn,1
1pick,23
AKJenn,2
AirDog46,5
Akatusuki,18
Ant,1
AntiChickenn,1
ApexWasabi,1
Apportioned,3
Aviv,3
Azstar,2
BMBradleyYT,2
BabyKrypto,2
Benjiram,2
Bities,1
BlackThunder447,2
BlackVelvet666,1
Botwave,3
BraddorzYT,1
BreadLoaf_Keys,6
Brizly,1
CakeMan710,2
Caleux (Lucas),1
Candi,1
Clickies,2
Connor,4
Cookie,1
DDRNSTPMGMX,1
DaTurTelGod1,4
Dave,4
DiamondPower,1
DoggyDoge,1
Dottovu,3
DreamLogic,1
Dufji,1
EightPoint,1
Elementalish,1
EmberAydin,1
FakeLoki_,1
FitzyPvP,9
Foxify,1
FrostyyMC,1
Gusuu,1
HaederTheToast,2
Hawkeye Hollow,1
IceWolf,1
IcyHotHead,12
Insted,6
Invincible50,19
ItalicPie580,1
ItsYaBoiAlex14,6
JJ0502,1
Jaimss,13
JamesJustJoined,26
Jedadah,1
JoeMS10,14
JoinMolten,1
Joyoy0,1
Kadenninja07,3
KittyKitty69,1
Lancciks,2
Lauren,1
Lioneric,1
Loonest,1
LuckyBlockJack,1
Lumbrub,1
MM_TAKI,7
MaNemEvan,5
MagnitoIsAGod,14
Masterburn,2
McDonalds,1
McDucc,1
Momentum,1
Monit0r,1
Neptune888,46
NewYearsFreddy,2
Nicbo,10
Nicki,2
OrionPvP,4
Ramen,1
Redot,7
RoxasFA,2
RoyalDreary,1
S0V,3
SamuelGong,1
SantiCheddar,1
Sasuke,1
Scalings,2
Serpent0406,2
Simplility,3
SirLuc,1
SkeppyCat,2
SpaceUnit,3
StarZorrow,5
Subsy,3
Summerr,7
Swirls,1
System64,2
Talem,3
Tekoh,1
TeunMC,4
Th3ftx,5
ThWa,1
TorpedoTim64,2
TurboTorbie,1
V_A_M,39
Valat,2
Weirdillusions,25
WolfCrafted,3
Wolthy,3
Wqlk,1
Yawnless,7
Zopetto,3
_Goomy,1
__Dragonslayer,2
adam,3
aiht,15
aod66,1
appelsin8,1
ash,4
badliar_,2
bondo,1
cSyre,5
casey,35
cowFrickerTheOG,1
d_rodrigo,10
dan ma man,1
djenson,2
dog,2
dorkier :),2
eatmyuwu,1
embox,6
evites,11
frostyneedshelp,3
fwequentie,5
goawayimhigh,1
gw_,2
hamoka,2
helpline,1
hevex,2
ilikemywaffle,1
izzywills,1
katykat,7
kaylie,2
kkhan,1
krovic,1
kvids,3
lanne,1
leyaoeric,1
licht_ri,1
lonoN,1
lovebailey,8
lucxy,2
lukaplayz,1
m_fonseca003,4
miah,1
minsookim7,1
muffinyboyhalo,5
mvri,3
myork,1
myro,1
oambo,1
octaviez,1
popthetags,3
rcgret,1
sSkiez,2
sadliar,4
swervah,2
thehydrogen,1
vaxxi,2
wao,2
wheresmymommy,1
xImmune,1
xSquid3997,4
wetplace,1
