names,score
1pick,12
AdaptableRuben,1
AirDog46,2
Akatusuki,2
AmazingAlpha,1
Ant,2
AskedToast031,1
Aviv,2
AzMaaX,1
Azstar,2
BabyKrypto,3
Baldboyhalo1414,1
Benjiram,2
Big_Nick_Energy,1
BlackVelvet666,1
BlueSnowBallMic,2
Booplayz,1
BreadLoaf_Keys,6
CakeMan710,1
ChilledWolf,1
Clickies,3
ColdRetro,1
Connor,2
DaDonut,1
Dave,2
DoggyDoge,1
Doodles4,1
Eco,1
Edwinium,2
Etshaw,1
FitzyPvP,3
Flvee,1
FortyFour,11
Foxify,1
Friskies_,1
FrostyyMC,5
Garvey,1
GoogleSearches,5
Gxdda,1
HaederTheToast,1
Hamster,1
IBlueyI,1
IcyHotHead,3
Insted,1
InvadedLands,1
Invincible50,2
ItalicPie580,1
ItsHowecs,1
ItsYaBoiAlex14,7
Jaimss,3
JamesJustJoined,4
Japan___,2
Jet,1
Joyoy0,1
KingLoLoHP,1
KittyKitty69,1
Lancciks,2
Lauren,3
Laylim,1
Lonewulfx3,3
LukeLovesCandy,1
MASKBOYMARCEL,2
MM_TAKI,1
MagnitoIsAGod,2
McDonalds,1
MentalSteve,1
Middle,1
MiniC0ded,1
Momentum,2
Monit0r,3
Neptune888,7
NestaDiePie,1
Nicbo,7
Nicki,2
Nucker,2
OrionPvP,4
Pepe956,1
Pinevole,1
Ramen,1
Redot,3
RexizX,1
RoxasFA,1
S0V,1
SadLuna,1
SantiCheddar,2
Scalings,1
Serpent0406,2
SkeppyCat,4
SpaceUnit,2
SpeedySapphire,1
StarZorrow,1
Stardust,1
Summerr,2
SwissyYT,1
Th3ftx,2
TheLastGame,1
Twisst,1
Unnamedguy,1
UpbeatKnot43716,1
V_A_M,21
Valat,5
Vooltron,1
WasabiRaven,1
Wolthy,2
Wqlk,6
Xoads,2
Yawnless,1
Zyvra,1
adam,1
ambiients,1
ash,2
badliar_,2
cSyre,1
casey,23
democraticparty,2
dog,3
embox,2
evites,20
frostyneedshelp,1
heytylerreid,1
katykat,9
kaylie,2
krovic,2
lolbananasplitz,1
lovebailey,3
lovejaidy,4
lucxy,1
muffinyboyhalo,2
myro,1
ninvm_,1
pat_3,3
ql3c,2
rcgret,6
sSkiez,1
sadliar,5
thehydrogen,1
universalt,1
voidkay,1
wetplace,2
xSquid3997,1
yumes,2
