names,score
0000000000000012,1
140ms,1
1oneem,1
1pick,2
1uke_,1
5c1,1
5kappy,1
AB987,1
ANinjaBunny,1
APlethora,1
AdrenalineX18,1
Aeqz,1
Aerobyte,1
Aiqw,1
Aka_Yee,1
Akatusuki,1
Alebrazil,1
Allthrone,1
AloneTM,2
Anonymizing,1
Ant,3
AntiChickenn,1
AppleUHC,2
Apportioned,1
Arianita,1
Astro_Man54,1
Aviv,1
Azuuree,1
Baldboyhalo1414,1
Benjiram,1
BlackThunder447,1
BloodNoon,1
Bloody,1
BlueSnowBallMic,2
Botwave,1
Bradyroo124,1
Brizly,1
Brushy,1
CURSED__SKEPPY,1
CallMeToxic,1
CameronT0509,1
Candi,2
CapKaw,1
CaptainDynamito,1
Captmarshmellow,1
Ceman361YT,1
ChatScale,1
ChiefBlitss,1
Claragraal,1
Clyp,1
CodesterDubs,1
Cookie,1
Cryniixz,1
CwittichhasnoIQ,1
DDRNSTPMGMX,1
Damonell313,1
Dandan15232,1
DanyJ_,1
Dave,2
DeadpoolBTD,1
Deal5252,1
Decay,1
DelmarLysol,1
Deo,1
DepressedPaper,1
DirectInfiniteYT,1
DjSpiritas,1
Doodles4,1
Dragzzyy,1
DramaBoyGamer,1
DreamLogic,2
Duel,1
DuelGodXX,1
Dufji,1
Duroy,1
DuskAwaitsUs,1
Edwinium,1
EdyMCcraft,1
EeveeNoises,1
Einstijn07,1
Elbest,1
Elementalish,2
EmberAydin,1
Emily,1
Endgator,1
Ernsburns,1
Filipx81,1
FireSky1,1
FitzyPvP,1
FlorianCl,1
FluffyPancakes1,1
FlyGG3,1
Fly_O,1
FortyFour,2
Fr0stTheElk,1
FrostyFoe,1
Fudgie,2
GameIsJustLove,1
Geochino,1
GillerOld,1
GlitchyCube,1
Gogee,1
Goldspirit45,1
Gooliusboozler,1
GothicGirl121,1
GreenmanEF,1
Gremaux,1
Haklo,1
Hamster,1
HappyDuck,1
HeckTheThicc,1
Honor,1
Hydrozing,1
HyperFlames,1
IBubbles,1
IIIITiz,1
ISpexI,1
I_Love_Mega_Zelk,1
IceWolf,1
IcyHotHead,3
IdonNC,1
ImaSnakySnake,1
Immortality,1
Insted,4
ItsFree,1
ItsUnFazedX,1
ItsYaBoiAlex14,3
ItzSudoku,1
JGBoom,1
Jackster,1
Jaimss,2
Jakecraft2,1
JamesJustJoined,3
Jaws,1
Jedadah,3
JifPom,1
JoeMS10,2
JoinMolten,1
Joonyboy4713,1
Justinzy,1
Jwiky,1
Kamyxo,1
Kaswreyhen6,1
Kayloo,1
Keitlyn,1
KingLoLoHP,1
KittyKitty69,1
KoPlayz,1
Kobuto,1
Koronotchi,1
Krustawix_Xor,1
Kwurz,1
Kxffeine,1
Laylim,1
Liam,1
LightUpSkechers_,1
Lioneric,1
Lonewulfx3,1
Lord0wnage,1
LordCoeCoe,1
Lucky,1
Lumbrub,2
Lurs,1
Lyfelyto,1
MADSKULL92,1
MC_Lazer_Gamer,1
MNawaz,1
MaNemEvan,1
MagiQAppleYT,1
Marci0302,1
MaxtimeMe,2
McDonalds,2
McDucc,1
McSlave,1
MelonSkuppy,1
Meron,1
Mihaitai,1
Milkmilkita,1
Misplqce,1
MitroPower,1
Mo0od,1
Moxkz,1
Mqzen,2
MrLegendGaming,1
MrTroll,1
Mushrooomz,1
Mystic370,1
NachoCheese115,1
NameAidan,1
Necraticy,1
Neigh,1
Neptune888,3
NestaDiePie,1
Nicbo,1
NickChubb,1
Nicki,1
Nivika,1
NonCreativ3,1
Ocaaaasek01,1
Occy,1
Ocualin,1
OfflineChar,1
OkayRose,1
Omar Agiza,1
Orion,1
OrionPvP,1
Overlord_James,1
Pablito,1
Pacmanpowerghost,1
PapaGoofy,4
PatrickMSM,1
Pithoi,1
PlusLogic,1
ReapingGamer21,1
Rebelfingers,1
RechraHCF,1
Redot,1
RicardoThanos,1
Rishon,2
RoaringPixie,1
RoxasFA,1
RoyalDreary,2
Runny,1
S0V,1
Sallon,1
Sam,1
Samz1229,1
Sarafin_,1
Scalings,2
ScarletHeart,1
Seb,1
Sedatte,1
SensiZukini,1
Sepky,1
Shadoworks,1
Shalohan_Ling,2
ShinyDiamond,1
ShinyPlasm,1
SilentMoonWolf,1
Sizzle,1
SkepPlays,1
SkeppyCat,2
SkeppyJr,1
Skeppy_Hamburger,1
SkeppysKid,1
Skolux,1
SkyEpicGold,1
SolarxPolar,1
SpaceUnit,1
Spaghet Ti-Can,1
SpeedySapphire,1
SrMatthew,1
SrepBroZo,1
StarGamesX,2
Stavs,1
Stealth Ninja,1
Stefos,2
Stradium,1
Stridingg,1
StrongTino,1
SudnixGD,1
Suksum,1
SummaSummarum!,1
Swag_money_bmx,1
SwiftyGangDS,1
Swirls,2
Sxple,1
Synced_Pl4y3r,1
THICCME69,1
TeunMC,1
That0nepotato,1
TheAlgorithm476,1
TheReks,1
TheSavageDudeYT,1
Thrillers,1
Topusku,1
Twisst,1
Tyone,1
UberLexi,1
UmairsRealm,1
UnderBubFishzSea,1
UnholyCow,1
UnoReverseCaard,1
UpbeatKnot43716,1
V_A_M,2
Vainer,1
Valat,2
Vatrea,1
Vera,1
Vileahey,1
Void,1
Vooltron,1
Warri0rBoo,1
WasabiRaven,2
WaterSheep,1
Weirdillusions,1
WendaF,1
WhoIsCayden,1
WolfCrafted,1
WolfvsDog,1
Wolthy,1
Woofle,1
Wqlk,1
XXXTentacion2018,1
XXphilippplayzXX,1
XeroWins,1
Xlinkxxx,1
Xoads,1
XxBadBro214xX,1
YICODES,1
YeetAndrewZ,1
Yochran,1
ZProy,1
Zackyyy,2
Zanded_,1
Zeecyoos,1
Zenality,1
Zigelz,2
Zooflux,1
ZsCortzone,1
Zyvra,1
_Goomy,1
_Walnuts,1
_gnrelyt,1
ameliaaaaa,1
anqelo22,1
ash,2
badliar_,1
bewitchingmallll,1
blib_blob_poop,1
bluedragonfly4,1
braydenthehyper1,1
cFusion,1
cSyre,1
casey,3
d_rodrigo,2
davdog00,1
deadma_iz_hax,1
declandude25,1
devv_,1
dragonhunter100,1
encription,1
ericc,1
evites,4
fiih,1
finnian33,1
gam3runkn0wn,1
gamers90,1
greenpastel,1
hal0sMC,1
hamoka,1
iKNIFEu,1
iZestyYT,1
iiFadz,1
isachilje,1
