names,score
1pick,8
Akatusuki,1
AzMaaX,1
Backwords,1
Benjiram,1
Botwave,1
Brizly,1
EKORamme,1
Edwinium,1
Fiddlestrom,1
FortnitePlayer,3
GAC,1
HaederTheToast,1
Honor,1
Hydrozing,1
Invincible50,1
JoeMS10,3
Lauren,1
LukeLovesCandy,1
Lumbrub,2
MM_TAKI,1
McDonalds,1
McDucc,2
Raspish,1
Rukuku 137,2
Runny,1
S0V,1
SadLuna,1
SkeppyCat,1
Sora,2
SpeedySapphire,3
Swirls,1
TehNeon,1
V_A_M,1
Wqlk,1
Xelvy,1
Xoads,1
Zyvra,2
ameliaaaaa,1
ash,2
casey,1
democraticparty,1
dog,3
evites,1
global,1
hamoka,1
krovic,1
kvids,1
lonoN,1
lovebailey,3
myro,1
ql3c,1
rashes,1
rcgret,4
sugarkisses,2
sushi,1
wheresmymommy,1
xpainfulll,2
yiwri,1
