names,score
AB987,1
AKJenn,1
AirDog46,1
Atovoh,1
Benjiram,2
Big_Nick_Energy,1
BlackVelvet666,1
BreadLoaf_Keys,3
Chik3n,1
DaTurTelGod1,3
Dave,1
Dice4x,1
Doodles4,2
DreamLogic,1
FakeLoki_,1
Gorgabal,1
Gusuu,1
ISpexI,1
Insted,1
ItsYaBoiAlex14,2
Jaimss,3
JamesJustJoined,8
JoeMS10,1
Kayloo,1
Kobuto,1
Laylim,2
Lumbrub,2
Lynds,1
Neptune888,8
Ngamer7,1
Nicbo,2
Nicki,1
Nowy,1
OrionPvP,2
PapaGoofy,1
Seqsons,3
Serpent0406,1
Simplility,2
SpaceUnit,5
Subsy,8
Trystan,1
Twisst,1
UncleJimmy_yt,1
V_A_M,2
Vainer,1
WasabiRaven,1
Weirdillusions,4
WolfCrafted,2
Wqlk,1
Yawnless,3
a1m0g,1
bewitchingmallll,1
casey,5
distillable,1
dog,1
evites,1
heytylerreid,1
katykat,1
lovebailey,1
muffinyboyhalo,2
mvri,1
rcgret,2
sSkiez,1
scorbunny,1
spongyfan1,1
