names,score
1hannah1,1
1pick,5
AdaptableRuben,1
Aeqz,1
AgentPanda_,1
Aka_Yee,1
Akatusuki,18
Ant,1
ApexWasabi,1
Aviv,1
Azstar,1
BabyKrypto,9
Benjiram,2
BlackVelvet666,1
BlankSpaceHere,1
BlueSnowBallMic,2
BreadLoaf_Keys,17
CakeMan710,1
Caleux (Lucas),1
Candi,8
Captmarshmellow,2
CocaC01A,1
Connor,7
CoocaCola,1
Cookie,6
DaDonut,1
DabOnDatCheese,1
Dave,11
Decay,1
DoggyDoge,2
Doodles4,7
Dottovu,1
DreamLogic,3
Dufji,1
Elementalish,3
EmberAydin,2
Etshaw,1
Eztap,2
FitzyPvP,5
FrostyyMC,5
Furrie,1
GoldenMurphyMan,1
GoogleSearches,1
Gusuu,1
Hamilton,2
Helpful Fox,1
Hydrozing,1
HyperFlames,2
IBlueyI,1
ISpexI,2
IceWolf,1
Icebear,1
IcyHotHead,12
Insted,2
IsaacThePenguin,1
ItalicPie580,10
ItsYaBoiAlex14,1
JJ0502,1
Jaimss,13
JamesJustJoined,30
Japan___,1
JoeMS10,3
Kayloo,5
KingLoLoHP,3
KittyKitty69,1
Lauren,3
Laylim,6
Lettuce Boi 101,1
Lonewulfx3,10
Lucid,1
LuckyBlockJack,3
LukeLovesCandy,1
Lumbrub,3
Lynds,1
MaNemEvan,5
MagnitoIsAGod,1
Majeranek,1
Mark_my_words,1
Monit0r,2
Mqzen,3
NewYearsFreddy,1
Nicbo,10
Nicki,3
OrionPvP,4
PapaGoofy,3
Pentala,2
PigMatt,1
Pinevole,1
RechraHCF,1
Redot,22
RichieInDaBox,1
RoxasFA,2
S0V,1
SamuelGong,1
SantiCheddar,2
Seqsons,1
Simplility,2
SkeppyCat,7
SkeppyJr,2
SkittlesTM,8
Smakina,2
SpaceUnit,5
StarGamesX,1
StarZorrow,1
Stmz,1
Stradium,7
Stridingg,2
Subsy,33
SwagBoy44444,1
System64,2
Talem,2
TensiveWolf8599,1
Th3ftx,3
TheOreo,1
Threewn,1
TorpedoTim64,1
ToxicalJolt,1
Twisst,2
UncleJimmy_yt,1
Unnamedguy,1
UpbeatKnot43716,1
V_A_M,22
Valat,3
Weirdillusions,7
WolfCrafted,1
Wolthy,1
Wqlk,3
Xoads,1
Xyst_,1
Yawnless,10
Z_Voltage,1
Zopetto,2
ZsCortzone,1
__Dragonslayer,1
ash,1
badliar_,2
bluedragonfly4,1
bobepurple,1
cSyre,11
casey,35
cled,1
cr3333pz,1
d_rodrigo,3
dog,2
embox,3
encription,1
ericc,1
evites,6
fongus,1
frostyneedshelp,10
heytylerreid,1
italicfan69,2
katykat,6
kaylie,2
kvids,1
lovejaidy,1
miah,2
muffinyboyhalo,5
mvri,5
ninvm_,1
oGrizzy,1
ophen,2
pat_3,1
popthetags,5
rcgret,1
sSkiez,2
sadliar,2
swee,2
thehydrogen,1
universalt,2
vQuil,1
vaxxi,2
velo,13
warper,1
yezzymoni,1
yumes,2
zJavaError,2
