names,score
1pick,17
AgentPanda_,2
AirDog46,2
Akatusuki,5
Al3x_87,1
Ant,1
ApexWasabi,2
Apportioned,2
AtomicRaider2k,1
Aviv,6
Azuuree,1
BabyKrypto,4
Baby_zelkcam,1
BeanEater,1
Benjiram,2
Big_Nick_Energy,1
BlackVelvet666,1
BlankSpaceHere,1
BlueSnowBallMic,13
BlueSolar,1
Botwave,1
BreadLoaf_Keys,3
C4V,1
Candi,1
Captmarshmellow,3
Chainkiller,1
Clickies,2
Connor,8
Cookie,1
Cool_man,1
DDRNSTPMGMX,1
DaDonut,7
DaMuffin,1
DaTurTelGod1,1
Dave,149
Decay,2
DezzDderp,1
DoggyDoge,1
Doodles4,3
DreamLogic,2
Dufji,1
Eco,1
Elementalish,2
Ernsburns,1
FASTESTCLICKEREU,1
FakeLoki_,1
FitzyPvP,10
FortyFour,3
Foxify,5
Friskies_,1
FrostyyMC,8
Fudgie,1
GiantPoop,2
GlitchyCube,1
GoldenMurphyMan,3
GoogleSearches,4
Gusuu,2
Hawkeye Hollow,2
Hydrozing,1
HyperFlames,2
IHazNoBlocks,1
ILikePeeVeePee,1
I_AM_afraid,1
IcyHotHead,20
Insted,7
Invincible50,10
IsaacThePenguin,1
ItalicPie580,2
ItsYaBoiAlex14,2
Jaimss,11
JamesJustJoined,49
JoeMS10,32
Jorb,1
Joyoy0,1
Jumbo,1
KatieTheCatUwU,1
Kayloo,2
KingLoLoHP,1
KittyKitty69,4
Kobuto,1
Lauren,5
Laylim,1
Lonewulfx3,3
LuckyBlockJack,1
LukeLovesCandy,1
Lumbrub,14
MagnitoIsAGod,1
Masterburn,1
McDonalds,2
MicroWarrior00,1
Mihaitai,1
Momentum,4
Monit0r,4
Mqzen,2
Mxxrcell,2
NameAidan,1
Narrative_,1
Neptune888,39
NestaDiePie,1
NewYearsFreddy,1
Nicki,3
Nowy,1
OrionPvP,14
OwOJoey,1
Peksx,1
Pentala,1
Pinevole,1
Ramen,1
Redot,17
RoyalDreary,2
RyanCantPvP,1
S0V,4
SAKE80,1
Scalings,1
Sebastian_Kamal,1
Sedatte,1
Serpent0406,2
Simplility,3
SkeppyCat,4
SkittlesTM,1
SlickBoy,2
Sora,2
SpaceUnit,4
SpeedySapphire,1
StarZorrow,6
Stardust,1
Stradium,1
Subsy,4
Summerr,5
Sweady,2
Swirls,3
Talem,1
TechyGaming,1
TemptingYeptical,1
TeunMC,5
Th3ftx,1
TheTimeDefender,3
TorpedoTim64,1
UncleJimmy_yt,1
V_A_M,36
Vainer,1
Valat,3
Vera,1
Viruses,1
Warri0rBoo,1
Weirdillusions,8
WhoIsCayden,1
WolfCrafted,2
Wolthy,1
Wqlk,2
Xoads,5
XreckerYT,1
Yawnless,4
ZelkTheElk_Jr,1
_Anxxiety,2
_Goomy,1
a1m0g,1
adam,9
ash,10
badliar_,1
belle,1
cSyre,2
casey,65
cellwall,1
d_rodrigo,15
dog,19
dorkier :),2
dxllas,1
embox,6
evites,73
fongus,1
greenpastel,7
hamoka,9
hevex,6
heytylerreid,1
i<3skep,1
ilikemywaffle,1
katykat,7
kaylie,1
krovic,1
kvids,25
living_,1
lovebailey,19
lovejaidy,5
lucxy,4
m_fonseca003,1
miah,4
mrchanjack1,1
muffinyboyhalo,3
mvri,26
myro,1
ninvm_,1
ok boomer,2
panicbrendon,2
popthetags,4
qmr_,1
quartz,1
rcgret,3
sSkiez,1
sadliar,2
spongyfan1,1
succesfully,1
swervah,1
thehydrogen,2
universalt,2
vQuil,1
velo,3
voidkay,1
wheresmymommy,1
xImmune,3
xSquid3997,1
xpainfulll,1
yakovliam,1
ynwYelo,1
zJavaError,3
zeroclock,1
