names,score
1pick,46
69hd,2
AirDog46,1
Akatusuki,1
Alebrazil,1
AloneTM,2
Ant,1
ApexWasabi,4
Arth795,1
Aviv,3
Azstar,4
BabyKrypto,6
BanLight,1
Benjiram,4
BlackVelvet666,2
Botwave,1
BreadLoaf_Keys,1
Brizly,3
Bruva,2
Bu_Biro,1
Bumlingen3,1
CakeMan710,3
Connor,2
DaTurTelGod1,1
DabOnDatCheese,1
Dave,2
DavidFull,1
Decay,1
DirectInfiniteYT,1
Ducky,1
Eco,10
Elementalish,1
Emerald,1
FitzyPvP,15
FortnitePlayer,1
FortyFour,3
Garvey,2
GoldenMurphyMan,5
Golden_,2
GoogleSearches,2
GreenmanEF,1
GrimmEvoL,1
Gusuu,1
HaederTheToast,2
Hamster,3
Happy_Skeppy,3
Hawkeye Hollow,1
Hydrozing,2
HyperFlames,1
I_AM_afraid,2
IcyHotHead,7
ImRayst,2
Imran,1
Insted,5
InvadedLands,1
Invincible50,3
ItzRenderman,1
Jaimss,3
JamesJustJoined,13
JoeMS10,6
JoinMolten,3
Khanster45,1
KittyKitty69,1
Lauren,9
Laylim,6
Lonewulfx3,1
LukeLovesCandy,2
Lumbrub,7
Matthijsjee,1
McDonalds,5
Middle,1
Momentum,1
Mxxrcell,1
Neptune888,13
NestaDiePie,4
Nicbo,10
Nickolas Berming,1
Notascendix,1
Nucker,1
OnlySuper,1
OrionPvP,13
Otingus,2
Periys,2
Pinevole,1
RainPlayzYT,1
Ramen,1
Redot,11
Retro,1
RoyalDreary,1
SAKE80,1
Seqsons,2
SkeppyCat,3
SlickBoy,1
SpaceUnit,1
SpeedySapphire,2
Spycy,2
Stardust,1
Subsy,3
Swirls,7
TechyGaming,2
Tekoh,1
TeunMC,9
Th3ftx,1
Troevan,1
Twisst,4
V_A_M,47
Valat,3
Veeti,1
Vera,1
Voltwave,1
Vooltron,1
Weirdillusions,3
Wqlk,1
Xoads,41
_Goomy,4
adam,3
aiht,2
aod66,1
ash,15
badliar_,2
bewitchingmallll,1
casey,12
d_rodrigo,1
demvibes,1
didgital,1
dog,6
dxllas,1
embox,4
ericc,1
evites,6
fwequentie,4
gabesweats,1
global,1
goawayimhigh,1
greenpastel,1
hamoka,7
helpline,1
ice,1
italicfan69,2
krovic,1
kvids,5
larokii_,2
lovebailey,16
lovejaidy,3
lucxy,1
mainlee175,2
mrchanjack1,2
myork,1
myro,1
noktw,1
nuhmb,2
olmocap,1
panicbrendon,1
ql3c,16
rcgret,5
realwolfygames,1
sSkiez,1
sadkai,7
sadliar,3
succesfully,1
sugarkisses,3
thehydrogen,1
universalt,2
vQuil,3
vReach,1
velo,3
voidkay,2
warper,1
