names,score
0blivionn,1
1pick,20
4G7,2
AdaptableRuben,1
Aeqz,1
AgentPanda_,1
AirDog46,2
Akatusuki,11
ApexWasabi,1
AtomicRaider2k,4
Azstar,1
BMBradleyYT,1
BabyKrypto,3
BeanEater,1
Benjiram,1
Big_Nick_Energy,1
BlackVelvet666,6
BlankSpaceHere,3
BlueSnowBallMic,2
Botwave,4
BreadLoaf_Keys,4
Bruva,1
Clickies,4
Clyp,2
Cookie,1
CosmicPaul,1
DaTurTelGod1,1
Dave,1
Dino,1
Doggc,1
DoggyDoge,75
Doodles4,2
Dottovu,5
DreamLogic,1
EKORamme,1
Eco,2
Elementalish,1
Etshaw,1
FakeLoki_,1
FitzyPvP,6
FortyFour,3
Foxify,1
FrostyyMC,6
Giltz,95
GlitchyCube,2
Gocong,1
GoldenMurphyMan,1
Golden_,5
GoogleSearches,3
Gusuu,1
Hi72866,1
Honor,1
I_AM_afraid,2
IcyHotHead,6
Insted,9
Invincible50,2
ItalicPie580,2
ItsYaBoiAlex14,9
Jaimss,7
JamesJustJoined,15
Japan___,1
Jedadah,1
Jesting,2
Jet,5
JoeMS10,5
Joyoy0,1
Kayloo,4
KittyKitty69,2
Kobbie,1
Lancciks,1
Lauren,4
Lumbrub,10
Luna,1
MaNemEvan,2
MagnitoIsAGod,1
McDonalds,9
McDucc,14
Momentum,2
Monit0r,4
NameAidan,2
Neptune888,10
NerdSocial,3
Nicbo,24
Nicki,1
Notascendix,1
Nowy,2
Nqovio,1
Nucker,2
Pentala,1
Pinevole,1
Preceding,1
Redot,5
Rhymings,1
Ring,1
RoyalDreary,2
S0V,3
SadLuna,1
Sedatte,1
Serpent0406,10
Simplility,4
SkeppyCat,3
Smakina,1
SnackPvP,1
SpaceUnit,2
SpeedySapphire,8
StarZorrow,1
Subsy,2
Summerr,9
Swirls,1
SwissyYT,1
TeunMC,4
TorpedoTim64,1
Trystan,1
Twisst,3
UncleJimmy_yt,1
UpbeatKnot43716,1
V_A_M,64
Vainer,4
Veeti,1
Viruses,1
WasabiRaven,2
Weirdillusions,15
Wolthy,3
Wqlk,7
Xoads,3
Yawnless,3
Zeesgoツ,1
Zigelz,1
adam,3
aiht,3
akise_oof,1
ameliaaaaa,3
appelsin8,1
ash,5
badliar_,1
borjov,1
cSyre,2
casey,19
cellwall,1
cowFrickerTheOG,2
cr3333pz,1
democraticparty,1
didgital,1
distillable,1
dog,2
dragonhunter100,1
embox,6
evites,9
fongus,1
frostyneedshelp,2
fwequentie,3
hamoka,3
helpline,4
hevex,1
johs2009,1
katykat,5
krovic,2
kvids,11
living_,2
lovebailey,18
lovejaidy,4
miah,1
myro,2
ninvm_,2
ok boomer,1
panicbrendon,1
pixle_man294,1
ql3c,2
rcgret,5
sSkiez,2
sadkai,1
sadliar,2
scorbunny,1
succesfully,2
swervah,1
thehydrogen,1
universalt,1
vaxxi,1
velo,1
voidkay,5
wclls,1
wheresmymommy,1
x0roa,1
xFiluu_,1
xRochy,1
xSquid3997,2
