names,score
1pick,6
AgentPanda_,1
AirDog46,1
Akatusuki,1
AloneTM,2
ApexWasabi,2
BESTSUMOEU,1
BabyKrypto,5
BlackVelvet666,1
Botwave,1
BreadLoaf_Keys,1
Bruva,1
CakeMan710,1
Connor,4
Cookie,1
DaTurTelGod1,1
Dave,9
Doodles4,4
DreamLogic,5
Dufji,1
Elementalish,2
Erkku,1
Etshaw,1
FakeLoki_,1
FitzyPvP,5
GoogleSearches,1
Haizhe,1
HyperFlames,3
IcyHotHead,3
Insted,5
IsaacThePenguin,2
ItsYaBoiAlex14,4
JJ0502,2
Jaimss,6
JamesJustJoined,2
Jedadah,1
JoeMS10,10
JoinMolten,1
KingLoLoHP,1
KittyKitty69,2
Kobuto,1
Ky,2
Lauren,12
Laylim,6
LuckyBlockJack,1
Lumbrub,2
Lynds,2
MagnitoIsAGod,1
McDonalds,2
McDucc,1
MinecraftMan1013,1
Momentum,2
Mystic370,1
Neptune888,18
NestaDiePie,5
Nicbo,7
Nicki,3
Olun,1
OrionPvP,2
Panda,1
PapaGoofy,1
Pentala,1
Pinevole,1
Qoil,1
Redot,2
Seqsons,1
Serpent0406,1
SkeppyCat,4
SpaceUnit,6
Stradium,1
Subsy,1
Suksum,1
Summerr,1
System64,4
TeunMC,5
TheTimeDefender,1
UpbeatKnot43716,4
V_A_M,9
Valat,1
Xoads,4
Zaceroo,1
Zopetto,2
ash,4
badliar_,1
cSyre,6
casey,13
d_rodrigo,1
dog,3
dragonhunter100,1
ecstacide,1
embox,1
evites,5
frostyneedshelp,1
goawayimhigh,1
greenpastel,1
hamoka,1
katykat,5
kaylie,1
kissdemgn ♡,1
lovebailey,11
lovejaidy,1
miah,3
muffinyboyhalo,4
mvri,4
ql3c,2
rcgret,2
sSkiez,2
sadkai,1
sadliar,1
scorbunny,2
vaxxi,3
velo,1
