names,score
1pick,11
60mmm,2
AKJenn,1
AdaptableRuben,1
Aervial,1
AgentPanda_,1
AirDog46,2
Akatusuki,15
AletheiaWarrior,1
Alex9303,1
AloneTM,1
AmitTMB,1
Ant,1
Anyday Gaming,1
ApexWasabi,2
Apportioned,2
Arth795,1
AtomicRaider2k,1
Aviv,3
AzMaaX,1
Azstar,2
Azuuree,1
BMBradleyYT,1
BabyKrypto,19
Bacca,1
Backwords,1
Benjiram,5
BlackVelvet666,7
BlockyCadet,1
BloodNoon,1
Bloody,1
BlueSnowBallMic,8
Booplayz,1
Botwave,4
BreadLoaf_Keys,16
Brizly,1
Bruva,1
Caleux (Lucas),1
Chainkiller,1
ChilledWolf,2
Clickies,2
Coastal_4,1
Connor,9
CoocaCola,2
DaDonut,2
DaMuffin,2
DaTurTelGod1,1
Dave,3
Decay,4
DoggyDoge,1
Doodles4,6
Dottovu,3
DreamLogic,12
EKORamme,2
Elementalish,7
EmberAydin,3
EmersonVAE,1
Etshaw,1
FIREDAWG248,1
FakeLoki_,1
FitzyPvP,7
Flured,2
Fly_O,1
FortnitePlayer,3
Foxify,3
FrostyyMC,16
G3cd_,1
Gardevoir,2
GiantPoop,2
GlitchyCube,2
GoldenMurphyMan,6
Golden_,1
GoogleSearches,2
Gusuu,1
HaederTheToast,2
Haizhe,1
Hamster,1
Hawkeye Hollow,1
Hubbly,1
Hydrozing,1
HyperFlames,5
IBlueyI,1
ISpexI,3
I_AM_afraid,1
IcyHotHead,14
ImRayst,3
Immo,2
Insted,2
Invincible50,6
IsaacThePenguin,1
ItalicPie580,4
ItsYaBoiAlex14,6
Jacob,1
Jaimss,38
JamesJustJoined,48
Jaws,1
Jedadah,1
Jet,1
JoeMS10,3
Joyoy0,10
Karvainen,1
Kayloo,3
King8ight,1
Kobuto,3
Kxffeine,1
Lauren,3
Laylim,6
LightUpSkechers_,1
Lilysindy,1
Lonewulfx3,2
Lumbrub,4
Luna,1
MASKBOYMARCEL,1
MM_TAKI,2
MagnitoIsAGod,3
MaikMaster,1
Majeranek,2
Masterburn,3
McDonalds,5
McDucc,1
Middle,2
Milkmilkita,1
MiniC0ded,1
Momentum,2
Monit0r,12
Mqzen,5
MrPeterss,1
NameAidan,4
Neptune888,96
NestaDiePie,1
NewYearsFreddy,1
Nicbo,9
Nicki,1
NonCreativ3,2
Notascendix,2
Nowy,1
OneDance,1
OrionPvP,9
Otingus,1
PapaGoofy,1
PeaceTuba,1
Peguinster,1
Pentala,1
Phaax,1
Pinevole,1
Pink,1
ProBoss399,1
Provic,1
Publerincen,1
Raspish,1
Rhymings,1
RichieInDaBox,1
RougeNebula,1
Rukuku 137,1
S0V,1
SantiCheddar,2
Scalings,1
Seqsons,4
Serpent0406,2
Simplility,2
SkeppyCat,7
SkittlesTM,3
SlickBoy,3
Smakina,2
SpaceUnit,18
SpeedySapphire,1
Spycy,2
StarGamesX,1
StarZorrow,2
Stardust,1
Stmz,1
Stradium,6
Subsy,30
Suksum,1
Summerr,2
SwagBoy44444,4
Swirls,19
System64,1
Talem,1
TechyGaming,1
TeunMC,1
Tocket,1
Trystan,1
Twisst,1
UncleJimmy_yt,1
Unnamedguy,3
UnoReverseCaard,1
UpbeatKnot43716,2
V_A_M,72
Vainer,1
Valat,5
Vatrea,2
Vessie,1
WasabiRaven,1
WaterSheep,1
Weirdillusions,11
Witha,1
WolfCrafted,2
Wolthy,2
Wqlk,10
Xoads,2
XrayIsGay,1
Yawnless,21
Z_Voltage,1
Zackyyy,1
Zlolkill,3
Zopetto,1
ZsCortzone,1
a1m0g,1
adam,3
ameliaaaaa,2
ash,6
badliar_,1
belle,1
bluedragonfly4,1
bobepurple,1
bshandisnerd,1
cSyre,8
casey,36
cellwall,1
cr3333pz,2
d_rodrigo,3
democraticparty,1
dog,6
dorkier :),1
e_ic,1
embox,5
ericc,1
evites,20
ffsdeldon,1
frostyneedshelp,8
greenpastel,1
hal0sMC,1
helpline,1
hevex,2
iMedia,1
katykat,6
kaylie,2
kkhan,1
krovic,2
kvids,3
lovebailey,14
lovejaidy,1
lucxy,1
lukaplayz,1
lwcy,1
m_fonseca003,3
muffinyboyhalo,3
mvri,3
myro,1
notjack,1
nottekoh,1
nuhmb,1
panicbrendon,2
pat_3,1
podoqob,1
popthetags,4
ql3c,9
rashes,1
rcgret,5
sSkiez,5
sadkai,1
sadliar,9
sayonaraxsam,1
succesfully,1
swirleys,1
thehydrogen,2
turtle0214,1
universalt,6
vaxxi,3
velo,3
voidkay,1
wao,1
wheresmymommy,1
xVurs,1
xpainfulll,1
yakovliam,1
yiwri,1
yumes,1
zJavaError,1
