names,score
1pick,5
4r6,1
71hz,1
AgentPanda_,2
AtomicRaider2k,3
Aviv,3
BMBradleyYT,1
BabyKrypto,3
Baldboyhalo1414,1
Benjiram,1
BlankSpaceHere,6
Botwave,1
BraddorzYT,2
BreadLoaf_Keys,1
CallMeToxic,1
Captmarshmellow,1
Clickies,1
Cookie,1
DaDonut,1
DaTurTelGod1,1
DoctaN208,4
Doodles4,3
Dottovu,2
DreamLogic,2
EightPoint,1
FortyPercent,1
FrostyyMC,2
Gardevoir,2
GoogleSearches,4
Hawkeye Hollow,2
InvadedLands,1
ItsUnFazedX,1
ItsYaBoiAlex14,1
Jaimss,1
JamesJustJoined,2
Jet,1
Jotar0,1
Kayloo,1
KittyKitty69,1
Ky,1
Laylim,1
Lezre,1
Locci,1
MagnitoIsAGod,4
Masterburn,1
MathMeetsScience,1
Misplqce,2
Momentum,1
Monit0r,1
MrPeterss,1
Neptune888,2
NerdSocial,2
Nowy,1
Obi,1
OrionPvP,4
Pettle,1
Redot,2
Scalings,1
Simplility,5
SkeppyCat,1
SkeppyV2,1
SpaceUnit,16
Stradium,1
Summerr,1
SwissyYT,1
ThWa,2
TomShef,1
Trystan,3
Twisst,1
UpbeatKnot43716,1
Vooltron,3
Wolthy,5
Wqlk,1
Yawnless,5
_Anxxiety,1
badliar_,7
boshigaming,1
bus77,1
cSyre,1
casey,9
distillable,1
dog,1
dragonz,1
evites,1
faze ugly,1
frostyneedshelp,1
katykat,4
laura,3
lovebailey,1
lovejaidy,1
m_fonseca003,1
myro,2
pranshuP2,1
rcgret,3
sSkiez,2
sadliar,1
swee,4
universalt,1
xImmune,1
xStormMC,1
xVurs,2
