names,score
1pick,1
Akatusuki,1
Ant,1
ApexWasabi,1
AppleUHC,1
Aviv,1
BabyKrypto,1
BlackThunder447,1
BlueSnowBallMic,1
Botwave,1
CakeMan710,1
Cience,1
Cookie,1
Dave,1
Decay,1
Domitance42,1
DuelGodXX,1
FitzyPvP,1
Forcatchy,1
Foxify,1
HBPlayz,1
Hydrozing,1
IcyHotHead,1
Insted,1
ItalicPie580,1
ItsUnFazedX,1
ItsWitherMC,1
ItsYaBoiAlex14,1
JamesJustJoined,1
KingLoLoHP,1
Kxffeine,1
Laylim,1
Lioneric,1
Lumbrub,1
Luweez,1
McDonalds,1
Monit0r,1
Mystic370,1
NBAndrej,1
Neptune888,1
NestaDiePie,1
Nicbo,1
Nivika,1
Ocaaaasek01,1
OrionPvP,1
PapaGoofy,1
PyroCold100,1
RechraHCF,1
SadLuna,1
Sebastian_Kamal,1
SirLuc,1
SlickBoy,1
SpaceUnit,1
StarGamesX,1
Swirls,1
TechyGaming,1
TehNeon,1
TeunMC,1
TomShef,1
UncleJimmy_yt,1
Unnamedguy,1
VICCYL,1
V_A_M,1
WaterSheep,1
Weirdillusions,1
Xoads,1
anqelo22,1
ash,1
distillable,1
evites,1
katykat,1
lovebailey,1
lovejaidy,1
mrchanjack1,1
muffinyboyhalo,1
oambo,1
ohnoiburntit,1
ok boomer,1
rcgret,1
tpopsy,1
xSquid3997,1
xboxpro66,1
