names,score
AirDog46,1
Anyday Gaming,1
Aviv,1
BlueSnowBallMic,1
Botwave,1
BreadLoaf_Keys,2
Brizly,1
Candi,1
CocaC01A,1
Connor,2
Cookie,1
Dave,1
DoggyDoge,1
Elementalish,1
EmberAydin,1
FitzyPvP,3
Fudgie,1
GiantPoop,1
GoldenMurphyMan,1
Happy_Skeppy,1
Hawkeye Hollow,1
I_AM_afraid,1
IcyHotHead,1
ImRayst,1
Insted,2
Invincible50,1
Jaimss,1
JamesJustJoined,4
Jet,1
JoeMS10,1
Kadenninja07,1
KittyKitty69,2
Lauren,2
Laylim,1
Lumbrub,6
MM_TAKI,1
MaNemEvan,1
Neptune888,5
Nicbo,4
OrionPvP,1
PapaGoofy,1
PeaceTuba,1
Reblxtemp3r,1
Redot,1
SirLuc,1
SpeedySapphire,2
Stradium,1
TehNeon,1
V_A_M,1
Vatrea,2
Weirdillusions,1
Yawnless,2
Zyvra,4
_Goomy,1
aiht,1
ash,4
cSyre,1
casey,1
democraticparty,1
dog,3
global,1
hevex,1
italicfan69,2
kkhan,1
kvids,1
lovebailey,2
m_fonseca003,1
nagisa,1
nuhmb,1
oceanharp,1
ok boomer,1
popthetags,2
ql3c,2
rcgret,2
sadliar,1
sugarkisses,1
swee,2
turtle0214,1
universalt,1
velo,1
voidkay,1
xVurs,2
yumes,1
