names,score
1pick,12
69hd,1
Akatusuki,1
AskedToast031,1
Azuuree,1
BabyKrypto,1
BlueSnowBallMic,1
Cryniixz,1
DelmarLysol,1
Emerald,1
Fiddlestrom,4
FortnitePlayer,2
GrimmEvoL,2
HaederTheToast,5
Honor,1
Insted,217
InvadedLands,1
JamesJustJoined,2
Jedadah,4
JoeMS10,7
JoinMolten,2
KittyKitty69,1
Lonewulfx3,1
Lumbrub,2
McDonalds,1
McDucc,1
Middle,1
Neptune888,1
Nexurent,1
NoodleAlien,209
Notascendix,1
Ramen,3
Redot,2
RoyalDreary,1
S0V,1
SkeppyCat,2
Swirls,1
Syd,1
TeunMC,11
V_A_M,4
Wqlk,1
akise_oof,1
allen17,1
ash,5
beau_geste,1
buffman60,2
bunkk,1
casey,38
deadhug,1
dog,1
goawayimhigh,13
greenpastel,1
hamoka,1
kaylie,1
kkhan,2
kvids,1
lovebailey,4
lovejaidy,5
ql3c,2
sadkai,8
sadliar,2
wao,1
xSquid3997,1
