names,score
1pick,5
Akatusuki,1
BMBradleyYT,1
BabyKrypto,1
Benjiram,4
BlackVelvet666,1
BlankSpaceHere,2
BreadLoaf_Keys,8
Cameron Kay,1
Connor,2
Dave,3
Doodles4,3
DreamLogic,6
Haizhe,1
HyperFlames,1
ISpexI,1
Insted,1
InvadedLands,1
Invincible50,1
ItalicPie580,1
ItsYaBoiAlex14,6
JN83,1
Jaimss,1
JamesJustJoined,2
Jet,1
JoeMS10,1
Kayloo,1
KingLoLoHP,1
Kobbie,2
Kobuto,1
Lancciks,1
Lauren,2
Lumbrub,1
Mqzen,1
Neptune888,25
Nicbo,4
Nicki,1
Noha,1
Redot,6
RobotAstronaut,1
S0V,3
Sariel,1
Serpent0406,3
Skeppeyy,1
SkeppyCat,1
Smakina,1
SpaceUnit,15
StarGamesX,1
Subsy,2
V_A_M,4
Warri0rBoo,1
Weirdillusions,1
Wqlk,4
Yawnless,16
Zopetto,1
cSyre,1
casey,17
distillable,2
dog,1
embox,1
evites,3
hamoka,4
hevex,1
iMedia,1
katykat,1
krovic,1
kvids,2
lovebailey,3
muffinyboyhalo,1
mvri,3
poolparty,1
rcgret,2
sadkai,1
themightyaids,1
universalt,2
xImmune,1
xSquid3997,1
