names,score
AdrenalineX18,1
Aeqz,1
Akatusuki,2
AkuroPlayz,1
Arth795,1
Austingamer291,1
AutumnCrystal,1
Aviv,1
Azstar,1
BabyKrypto,2
Baldboyhalo1414,1
Benjiram,1
BlackVelvet666,4
BlankSpaceHere,1
BluVpr,1
BlueSnowBallMic,1
BlueSolar,2
BreadLoaf_Keys,6
Captmarshmellow,2
Coastal_4,3
Connor,2
DaTurTelGod1,1
Dave,1
Doodles4,4
Dottovu,1
DreamLogic,1
Dufji,1
EKORamme,1
Eco,1
EightPoint,1
ExpiryYT,1
FitzyPvP,1
Fly_O,1
FrostyyMC,2
Gardevoir,1
GoogleSearches,1
IIIITiz,1
IcyHotHead,1
ItalicPie580,2
ItsYaBoiAlex14,2
JamesJustJoined,2
Japan___,1
JoeMS10,4
King8ight,1
KingLoLoHP,1
KittyKitty69,3
Kobbie,1
Ky,3
Lancciks,1
Lioneric,1
Lonewulfx3,2
Lynds,1
Mihaitai,1
Monit0r,1
Nowy,1
Olun,1
OrionPvP,2
OwenH420,1
OwensThing,1
Pettle,1
Reblxtemp3r,1
RechraHCF,1
Redot,1
Scalings,2
Serpent0406,5
Simplility,2
SkeppyV2,1
SkyPlayz,1
SpaceUnit,10
StarGamesX,2
Stradium,2
Stridingg,1
SwissyYT,1
System64,4
Taqhesiquan,1
UncleJimmy_yt,1
V_A_M,8
Wolthy,3
Wqlk,1
Xoads,1
Zanded_,1
cSyre,5
casey,6
dog,5
evites,2
firehond,1
foomf,2
katykat,5
lovebailey,1
lovejaidy,1
mvri,1
poolparty,1
ql3c,1
rcgret,2
sSkiez,2
sadliar,1
sippi,159
universalt,1
xImmune,4
xStormMC,1
zJavaError,1
