names,score
1pick,10
AirDog46,2
Akatusuki,11
AloneTM,2
Ant,1
ApexWasabi,3
Aviv,1
BabyKrypto,3
Benjiram,2
BlueSnowBallMic,3
Botwave,1
Bruva,1
Clickies,1
Connor,1
DaDonut,1
DjSpiritas,1
DreamLogic,1
Dufji,1
Eco,1
Edwinium,1
Elementalish,5
EmberAydin,2
FitzyPvP,12
Foxify,1
FrostyyMC,1
GAC,1
GiantPoop,1
GoldenMurphyMan,2
Golden_,1
GoogleSearches,3
HaederTheToast,1
Hamster,1
Happy_Skeppy,1
Hawkeye Hollow,1
IcyHotHead,1
ImRayst,1
Imran,1
Insted,2
Invincible50,6
Jacob,1
Jaimss,3
JamesJustJoined,7
Jet,1
JoeMS10,2
Joyoy0,3
King8ight,1
Kt_The_Awesome,1
Lauren,4
Lawna,2
Laylim,11
Lumbrub,5
MM_TAKI,1
MatiasCL,3
McDonalds,1
MiniC0ded,1
Mix,1
Momentum,2
Mqzen,1
Neptune888,15
NestaDiePie,1
Nicbo,9
Nicki,2
Noha,1
NotSoFancyWine,3
OrionPvP,6
Pigin,1
Raspish,1
Redot,16
RichieInDaBox,1
Roee,1
Runny,1
S0V,8
SadLuna,1
Scalings,2
Serpent0406,3
Sora,2
SpaceUnit,5
Spycy,1
Stradium,1
Subsy,1
TeunMC,1
Trystan,2
Twisst,2
UncleJimmy_yt,1
V_A_M,28
Valat,4
Weirdillusions,4
Wqlk,2
WqlkIsBae,1
Xoads,3
Zyvra,2
__Dragonslayer,1
adam,1
aerei,6
aiht,5
ameliaaaaa,1
ash,7
badliar_,2
casey,6
d_rodrigo,14
democraticparty,1
didgital,1
dog,3
e_ic,1
embox,6
ericc,1
evites,8
frostyneedshelp,1
hemisemicolon,1
katykat,1
kaylie,2
kkhan,1
krovic,2
kvids,1
lovebailey,11
lucxy,1
lukaplayz,1
muffinyboyhalo,2
mvri,1
nuhmb,1
panicbrendon,1
popthetags,2
ppeo,4
ql3c,1
rashes,4
rcgret,11
sadliar,6
swervah,1
velo,2
wetplace,1
ynwYelo,1
yumes,1
