names,score
0000000000000012,1
1pick,16
AKJenn,1
Abodz,1
Aeqz,1
AgentPanda_,1
Akatusuki,5
AletheiaWarrior,1
AloneTM,6
AmazingAlpha,1
AmitTMB,2
AniTheFrogo,1
Ant,1
ApexWasabi,2
AppleUHC,1
Apportioned,2
Arctic,1
Arianita,1
AtomicRaider2k,1
Aviv,2
AzMaaX,1
Azstar,1
BabyKrypto,4
BanLight,1
Benjiram,1
BlankSpaceHere,1
BloodMyth,1
BloodNoon,1
BlueSnowBallMic,2
Botwave,2
BreadLoaf_Keys,1
Brizly,1
Cameron Kay,1
Candi,2
Captmarshmellow,2
Catstr,1
CelticKestrel,1
Chainkiller,1
CheeseScopes,1
ChromiumSkeppy,1
ChummyWaterBear,1
Clickies,2
ColdRetro,1
Connor,1
CoolManz,2
Cool_man,1
Cryptoness,1
DaDonut,1
DaTurTelGod1,1
DabOnDatCheese,1
DamonOnYT,1
Dave,3
Decay,1
DerpDude,1
DirectInfiniteYT,1
DoggyDoge,2
Dufji,1
EALG1020,1
EdenGun27YT,1
Elementalish,2
ElenorTrixy,1
Elvine,1
EmberAydin,1
Enderall,1
Erzen,3
FantomMcyeeter,1
Filipx81,1
FitzyPvP,2
Flured,1
FortyFour,5
Foxify,1
Fr0stTheElk,1
Friskies_,1
FrostyyMC,1
Garvey,1
GlitchyCube,1
Golden_,1
GoogleSearches,1
Grub50,1
HaederTheToast,1
Hamster,1
HamsterTriv,1
Hydrozing,1
HyperFlames,3
IcyHotHead,4
ImRayst,1
Insted,6
Invincible50,2
ItsYaBoiAlex14,1
Izzy,1
Jaimss,5
JamesJustJoined,3
Jedadah,2
Jinthus,1
JoeMS10,2
JoinMolten,4
JustDavide,1
Kadenninja07,1
KittyKitty69,2
KoPlayz,1
Koin,1
Lancciks,2
Lauren,4
Laylim,5
Lonewulfx3,1
Lumbrub,6
M0xiimas,1
MM_TAKI,1
MaNemEvan,1
MagnitoIsAGod,1
MateoDoge,1
Maybethelion,1
McDonalds,2
Mega,1
Middle,1
Milkmilkita,1
Momentum,5
Nathan,1
NavPvP,1
Necraticy,1
Neptune888,7
NerdSocial,1
NestaDiePie,5
Ngamer7,1
Nicbo,10
Nicki,6
Nucker,2
Ocaaaasek01,1
OrionPvP,6
PapaGoofy,2
Pentala,1
Periys,2
Piggysaiyen32,1
PumpkinBear111,1
Qoil,1
Quiken,1
RedStoneManYT,1
Redot,4
RespectlesGirl!,1
Riqochet,1
Rishon,1
RoxasFA,1
Rxzberry,1
S0V,2
SPCMarion,1
SadLuna,1
Sasuke,1
Seb,1
Serpent0406,2
ShaneJosephh,1
Shelea,1
ShootAsword,1
Simplility,4
SkadooshTV,1
SkepPlays,1
SkeppyCat,7
SkittlesTM,2
SlickBoy,1
Smakina,1
SpaceUnit,1
SpeedySapphire,1
Suksum,1
Summerr,1
Swirls,1
TechyGaming,1
Tekoh,1
TeunMC,3
TheReks,1
TheTimeDefender,1
TimTheNoName,1
TomixUG,1
TryHardrNextTime,1
Tullum,1
Twisst,1
UpbeatKnot43716,1
V_A_M,6
Valat,5
Valerixal,1
Veeti,2
Vooltron,1
WasabiRaven,1
Weirdillusions,2
WhoIsCayden,1
WolfCrafted,3
Wqlk,4
XTCAurora,1
Xoads,5
Xx_L1am_xX,1
Yander,1
Youvebeenshreked,1
Zigelz,1
Zlolkill,2
ZsCortzone,1
Zyvra,1
_XxOscar789xX_,1
_o__w__o_,1
aiht,1
allen17,1
ash,3
badliar_,2
bakd,1
bonbonchocolat8,1
cSyre,2
casey,4
cayke,1
cooboss8372,1
crywolfybean,1
d_rodrigo,1
davey,1
della,1
didgital,1
dim0ski,1
dog,1
dufib,1
e_ic,1
embox,1
evites,6
flappyman123,1
fongus,1
frostyneedshelp,2
gw_,1
hamoka,1
ice,1
katykat,5
kingsiro331,1
krovic,1
kv,1
lamponesu_YTB,1
lovebailey,4
lovejaidy,2
lucxy,2
m_fonseca003,1
markie_gaming,1
miah,1
mvri,1
myro,2
nagisa,1
nakkisvene,1
noktw,3
oambo,1
ok boomer,2
olmocap,2
ophen,1
poolparty,1
popthetags,1
ql3c,5
sadliar,1
scorbunny,1
skoppy123,1
succesfully,1
sugarkisses,2
swee,1
thehydrogen,1
tom_shon,1
universalt,1
uwuJordan,1
vaxxi,1
velo,3
voidkay,1
wao,1
whoaboutyt,1
xImmune,1
xSquid3997,1
xolt10,1
xxajin,1
yuko_x,2
