names,score
69hd,4
AirDog46,1
Ameelyuh,2
Anyday Gaming,1
Azuuree,1
BlackVelvet666,1
CakeMan710,2
DelmarLysol,21
Dottovu,1
FitzyPvP,4
FortyFour,1
Fudgie,2
GrimmEvoL,2
ImRayst,2
Insted,117
JamesJustJoined,1
Jedadah,6
Kayloo,1
KhanhCoHon,1
Momentum,2
Neptune888,3
Ngamer7,1
Publerincen,2
Ramen,5
SkeppysKid,1
Spycy,1
UnholyCow,1
V_A_M,2
WasabiRaven,1
WolfCrafted,1
Yuuta,1
_Goomy,2
ash,20
buffman60,1
cSyre,1
casey,38
deathplayz2008,1
dog,1
evites,3
goawayimhigh,6
greenpastel,2
its_me_liv_,1
katykat,2
kvids,3
lovebailey,3
lovejaidy,4
popthetags,2
sadkai,3
sadliar,2
velo,1
ynwYelo,2
