names,score
1pick,7
60mmm,2
AidanClover,1
AirDog46,2
Akatusuki,4
Azstar,1
Azuuree,1
BabyKrypto,2
BlueSnowBallMic,1
Caleux (Lucas),1
Chainkiller,1
Clickies,1
Cookie,1
Cryptoness,1
Doodles4,2
Dqniel,1
Eco,1
Elementalish,1
EmberAydin,1
Fahx,1
Fiddlestrom,1
FitzyPvP,3
Flightz,3
FortnitePlayer,6
Foxify,1
GlitchyCube,1
GoldenMurphyMan,5
GoogleSearches,6
Great Piggle,1
IcyHotHead,1
Insted,1
Invincible50,2
ItsYaBoiAlex14,1
Jaimss,1
JamesJustJoined,3
Jaws,1
Jesting,25
JoeMS10,2
JoinMolten,2
Kadenninja07,1
Keenu,1
Killwave,1
Lauren,2
Lonewulfx3,1
LukeLovesCandy,1
Luweez,1
MM_TAKI,2
McDonalds,1
McDucc,2
NamesLynx,1
Neptune888,18
Nicbo,1
OrionPvP,4
RRuohoSS,1
Reblxtemp3r,1
Redot,7
RoxasFA,1
S0V,6
Sariel,1
SauceZesty,1
SkeppyCat,2
SpaceUnit,3
SpeedySapphire,2
Stardust,1
Subsy,1
Swirls,4
Twisst,3
VICCYL,1
V_A_M,12
Weirdillusions,1
Witha,1
Wqlk,3
Xelvy,1
Yawnless,1
Zyvra,6
appelsin8,1
ash,3
cSyre,1
casey,2
d_rodrigo,52
dog,5
embox,2
evites,1
fongus,1
global,2
hamoka,1
katykat,1
kvids,1
lovebailey,1
lucxy,2
m_fonseca003,1
monkeyman,1
myro,1
octaviez,1
popthetags,2
ql3c,1
rcgret,2
sadliar,4
wetplace,1
wheresmymommy,1
yard,1
