names,score
1pick,17
Aaroennderman7,1
AirDog46,2
Akatusuki,19
AmazingAlpha,1
Ant,4
Anyday Gaming,1
ApexWasabi,2
Aviv,3
AzMaaX,1
Azian21,1
Azstar,10
Azuuree,4
BMBradleyYT,2
BabyKrypto,21
Backwords,1
Baldboyhalo1414,1
Benjiram,2
BlackVelvet666,5
BlankSpaceHere,1
Bloody,1
BlueSnowBallMic,1
BlueSolar,1
Botwave,2
BreadLoaf_Keys,4
Brizly,1
Bu_Biro,1
C4V,1
Caleux (Lucas),1
Canner,1
ChilledWolf,1
Chisasfam,1
Clickies,5
Connor,1
Cookie,1
Cool_man,1
Dave,9
DevNoah,1
Dino,2
DirectInfiniteYT,1
Doodles4,2
DreamLogic,1
DuelGodXX,1
Dufji,1
Eco,2
EmberAydin,1
EmersonVAE,1
Ernsburns,1
Fahx,1
FitzyPvP,8
FortnitePlayer,1
FortyFour,3
Foxify,1
Fr0stTheElk,2
FrostyyMC,1
GameSter Damian,3
Gardevoir,1
GoldenMurphyMan,10
GoogleSearches,5
Gusuu,1
Gxdda,1
HaederTheToast,2
Hamster,2
Happy_Skeppy,1
Hawkeye Hollow,1
Honor,2
Hydrozing,1
HyperFlames,1
I_AM_afraid,2
IcyHotHead,4
ImRayst,1
Insted,1
InvadedLands,1
Invincible50,10
ItalicPie580,1
ItsYaBoiAlex14,9
JJ0502,1
Jackster,1
Jacob,1
Jaimss,11
JamesJustJoined,19
Japan___,1
Jaws,1
Jedadah,2
Jet,1
JoeMS10,11
Jorb,1
Joyoy0,4
Juleah,1
KingLoLoHP,2
KittyKitty69,3
Kobbie,1
Kobuto,1
KuraiReaper,1
Ky,1
Lancciks,1
Lauren,3
Laylim,3
Lonewulfx3,2
LuckyBlockJack,1
LukeLovesCandy,1
Lumbrub,24
MASKBOYMARCEL,1
MM_TAKI,1
MagnitoIsAGod,1
McDonalds,2
McDucc,2
Meatballia,1
Middle,1
Momentum,1
Monit0r,4
NameAidan,2
Neptune888,24
NerdSocial,2
NewYearsFreddy,2
Nexurent,1
Nicbo,12
Nicki,7
Nivika,1
Notascendix,1
OrionPvP,18
Other,1
Peckyy,1
Periys,2
Pinevole,1
Prevoke,1
Pwnage,1
PyroCold100,1
Ramen,1
Reblxtemp3r,2
Redot,16
RoyalDreary,5
S0V,3
Scalings,2
Serpent0406,4
Simplility,1
Smakina,1
SnarkyBurritos,1
Sora,1
SpaceUnit,4
Spongey_,2
Stardust,1
Sterloin,1
Stmz,1
Subsy,19
Summerr,1
SwagBoy44444,1
Swirls,7
Talem,1
TechyGaming,3
TeunMC,4
Th3ftx,2
TimTheNoName,2
TorpedoTim64,14
Troevan,1
Trystan,1
Twisst,3
Valat,2
Vooltron,1
Warri0rBoo,1
Weirdillusions,8
WhoIsCayden,1
Wqlk,3
Xoads,1
Yawnless,4
Zeesgoツ,7
Zyvra,1
_Anxxiety,1
_Goomy,1
__Dragonslayer,1
_iStrqfe,1
aiht,1
aod66,1
ash,11
badliar_,1
beau_geste,1
bluedragonfly4,1
cSyre,5
casey,38
cowFrickerTheOG,2
d_rodrigo,2
demvibes,1
didgital,1
dog,7
dxllas,1
embox,3
encription,1
evites,8
fongus,1
frostyneedshelp,4
fwequentie,1
goawayimhigh,3
hamoka,4
hevex,1
heytylerreid,1
i<3skep,1
iiELiTeMC,1
italicfan69,7
katykat,4
kaylie,4
kkhan,4
kvids,1
lovebailey,8
lovejaidy,29
lucxy,5
muffinyboyhalo,2
mvri,1
myro,1
panicbrendon,2
popthetags,3
ql3c,4
rcgret,8
sadkai,2
sadliar,9
soufleh,1
swee,2
velo,3
voidkay,4
warper,1
x0roa,1
xSquid3997,1
zJavaError,1
