names,score
1pick,3
Akatusuki,2
Aviv,1
BMBradleyYT,1
BabyKrypto,2
Botwave,1
DaTurTelGod1,1
DabOnDatCheese,1
Eco,1
FitzyPvP,4
FortyFour,3
GoldenMurphyMan,1
Honor,1
IcyHotHead,2
Jaimss,1
Jesting,1
King8ight,1
Laylim,4
Lumbrub,1
McDonalds,2
Neptune888,2
Nicbo,1
Nicki,4
OrionPvP,1
RandomPE,1
Redot,1
Scalings,1
Serpent0406,1
Simplility,1
SlickBoy,2
TimTheNoName,1
UpbeatKnot43716,1
Valat,3
Wqlk,2
Xelvy,1
Yawnless,1
Zeesgoツ,1
adam,2
aidanthebandit,1
ash,1
casey,1
equilen,1
evites,1
hamoka,2
iomughch,1
katykat,1
kaylie,1
krovic,2
kvids,1
lovejaidy,1
monkeyman,1
ok boomer,1
rcgret,2
sugarkisses,1
velo,1
