names,score
Ava951,1
BabyKrypto,1
BlackThunder447,1
BlackVelvet666,15
CakeMan710,1
Cameronipep,1
Candi,2
Clickies,1
Coastal_4,1
Connor,1
CoolManz,1
Dave,1
Decay,1
Dottovu,2
Fly_O,1
FortyPercent,1
FrostyyMC,2
Gardevoir,1
ISpexI,1
InvadedLands,1
ItalicPie580,14
Jaimss,1
JoeMS10,1
Kayloo,14
Laylim,2
LightUpSkechers_,1
Lonewulfx3,3
Lumbrub,1
MCScreed,1
Mihaitai,1
Milkmilkita,1
Monit0r,1
Neptune888,7
Nicbo,1
NotreioN,1
OFISHY,1
OrionPvP,2
RTWarrior,5
Redot,2
Serpent0406,1
Skaupe,1
Skelly1134,1
SkeppyJr,1
SkittlesTM,2
StarZorrow,1
UncleJimmy_yt,1
V_A_M,2
WaterSheep,1
Weirdillusions,1
Wqlk,4
Yawnless,1
Zigelz,1
adam,1
ambiients,2
ash,1
bus77,1
cSyre,1
casey,3
cr3333pz,1
dog,3
evites,9
gam3runkn0wn,1
iiskeptain,1
italicfan69,2
katykat,1
lovejaidy,1
miah,1
mvri,4
ophen,1
poolparty,1
popthetags,1
sSkiez,2
xyuji,2
