names,score
1pick,8
Akatusuki,3
Botwave,1
Chainkiller,1
CheeseScopes,1
DerpDude,1
Eco,1
Fiddlestrom,1
FitzyPvP,1
FortnitePlayer,8
Fudgie,2
GAC,1
GialliEnergy,1
GoogleSearches,1
HyperFlames,1
Insted,1
Jaimss,1
JamesJustJoined,2
JoeMS10,3
Lauren,1
Lumbrub,2
McDonalds,4
McDucc,5
Middle,1
Neptune888,1
Nicki,2
Ramen,1
Redot,1
SAKE80,1
SkeppyCat,1
SpeedySapphire,1
Swirls,1
Tekoh,1
Toast,1
UncleJimmy_yt,1
Xoads,1
Zeesgoツ,1
ameliaaaaa,1
dog,11
global,4
helpline,1
heytylerreid,1
kaylie,2
kvids,2
lovebailey,1
muffinyboyhalo,1
nagisa,1
nottekoh,1
nuhmb,1
rcgret,3
sadliar,2
sushi,1
turtle0214,1
