names,score
1pick,9
4G7,1
Akatusuki,1
AkumaAlpha,1
Arth795,1
Aviv,2
Azstar,4
BabyKrypto,4
Benjiram,1
Botwave,1
Caleux (Lucas),1
Cameron Kay,8
Captmarshmellow,1
Clickies,2
Connor,3
Cookie,1
Cyber_1,1
DaTurTelGod1,2
Dave,1
Dufji,1
Eco,2
FitzyPvP,4
GlitchyCube,1
GoogleSearches,4
ILuvFennecs,1
IcyHotHead,1
Immo,1
Insted,2
Invincible50,3
IrishGirl210,1
ItsYaBoiAlex14,1
Jaimss,2
JamesJustJoined,1
Japan___,2
Jeqq,1
JoeMS10,3
Joyoy0,1
Kayloo,1
Koeskoes,1
Kwurz,1
Kxffeine,1
Laylim,1
MagnitoIsAGod,1
Masterburn,1
McDonalds,1
McDucc,1
Momentum,14
Monit0r,1
Neptune888,7
Nicbo,13
Noha,1
Notascendix,1
OrionPvP,7
Redot,3
SadLuna,2
Seb,1
Serpent0406,1
Simplility,1
SkeppyV2,1
SkittlesTM,1
Smakina,1
SpaceUnit,6
Stmz,1
Swirls,4
System64,1
ThWa,1
Threewn,1
Twisst,1
V_A_M,8
Vatrea,1
Weirdillusions,4
WhoIsCayden,1
Wqlk,1
Xoads,4
Yawnless,1
Zach,1
Zeesgoツ,1
aiht,2
ambiients,1
aod66,3
ash,1
badliar_,2
belle,2
bondo,1
cSyre,4
casey,10
cellwall,1
cowFrickerTheOG,1
d_rodrigo,1
dog,1
drip,9
embox,1
evites,7
faze ugly,1
greenpastel,1
harrys0n,18
helpline,1
hevex,4
kissdemgn ♡,40
krovic,2
kvids,3
living_,1
lovebailey,5
lovejaidy,2
miah,1
muffinyboyhalo,1
mvri,1
myro,7
pat_3,1
poolparty,1
rcgret,2
sadliar,1
succesfully,1
velo,5
wheresmymommy,1
who's helpline?,7
x0roa,1
yumes,1
