names,score
1pick,4
AirDog46,2
Alegria,1
AmitTMB,1
AndyCrasher,1
Aviv,2
Azstar,3
Azuuree,3
BabyKrypto,1
Benjiram,2
BlankSpaceHere,6
Bloody,1
Botwave,3
Camila,2
Chainkiller,1
Clickies,5
CoocaCola,2
Dave,1
Decay,1
Dipslox,1
Doodles4,2
DoorMqtt,1
DreamLogic,3
Ducky,1
Eco,2
Emerald,1
Etshaw,4
FakeLoki_,2
FitzyPvP,5
Foxify,3
G3cd_,2
GoldenMurphyMan,3
GoogleSearches,1
Haizhe,1
Helu_ten,1
Honor,2
Insted,2
InvadedLands,1
Invincible50,4
JamesJustJoined,5
JoeMS10,4
Joyoy0,1
Lauren,1
Lumbrub,2
Lynds,1
MM_TAKI,1
MagnitoIsAGod,4
McDonalds,2
McDucc,1
Momentum,2
Nefi,1
Neptune888,1
NerdSocial,1
Nexurent,1
Nicbo,3
Nicki,1
Notascendix,7
OrionPvP,2
Pettle,1
Pinevole,1
Qoil,1
Redot,3
RexizX,3
Rikhard_,1
RundownHD,1
S0V,1
SadLuna,2
Serpent0406,4
Simplility,3
SkittlesTM,1
SpaceUnit,2
Spook_uwu,1
Stradium,1
Stridingg,1
Subsy,2
Tekoh,1
The Holy Chicken,1
V_A_M,6
WasabiRaven,1
Weirdillusions,4
Wolthy,1
Wqlk,1
WutsMyName,1
XXAJEE,1
Xoads,1
__DarkClouds__,1
__Dragonslayer,1
adam,1
aiht,1
appelsin8,1
beau_geste,1
cSyre,3
casey,4
dog,9
embox,9
evites,3
katykat,1
kaylie,1
kkhan,1
krovic,1
kvids,5
laura,1
lilyetti,1
living_,5
lovebailey,1
lovejaidy,5
ppeo,1
realarnutis,2
sadliar,13
swee,5
vaxxi,1
voidkay,1
wheresmymommy,1
x0roa,1
xSquid3997,2
zJavaError,3
