names,score
1pick,6
Akatusuki,1
AloneTM,57
Ant,1
ApexWasabi,2
Azstar,1
BabyKrypto,1
Baldboyhalo1414,1
Botwave,2
CakeMan710,1
Chainkiller,2
ColdRetro,1
Connor,1
Dave,2
Decay,3
Doodles4,1
Dottovu,1
Eco,1
Fahx,1
FitzyPvP,2
Flured,1
FortnitePlayer,1
FortyFour,1
Fudgie,87
GoldenMurphyMan,1
Honor,2
HyperFlames,2
ImRayst,1
Insted,2
InvadedLands,1
ItalicPie580,2
JamesJustJoined,3
JoeMS10,6
Lauren,1
Laylim,1
Lazer_The_Great,1
Lian,1
Lumbrub,5
Luna,1
McDonalds,1
McDucc,6
MiniC0ded,1
Neptune888,2
Nicbo,8
Notascendix,1
Pettle,1
Redot,1
RespectlesGirl!,1
Runny,1
S0V,1
Serpent0406,1
SkittlesTM,2
SpaceUnit,1
Summerr,1
Sweady,1
Swirls,1
TeunMC,1
TorpedoTim64,2
UnholyCow,1
V_A_M,8
Wqlk,3
XeroWins,1
Zyvra,2
ash,2
cSyre,2
casey,11
d_rodrigo,1
evites,6
frostyneedshelp,1
greenpastel,5
hamoka,1
kkhan,1
kvids,3
lovejaidy,2
miah,2
mvri,19
ok boomer,1
poo,71
ppeo,2
ql3c,1
rcgret,1
sadliar,8
velo,1
voidkay,1
yumes,1
