names,score
1pick,10
AdaptableRuben,1
AirDog46,9
Akatusuki,2
Apportioned,1
AreneThePanda,1
Astro_Man54,1
AtomicRaider2k,1
Atovoh,1
Ava951,1
Aviv,6
BMBradleyYT,1
BabyKrypto,3
Baldboyhalo1414,1
Bellasprout,1
Benjiram,3
BlackVelvet666,7
BlankSpaceHere,3
BlueSnowBallMic,2
Botwave,2
BreadLoaf_Keys,8
Bumpqin,1
CheezeGDS,1
Chik3n,2
Clickies,6
Connor,5
DaTurTelGod1,7
Dave,37
Decordy_,1
DelmarLysol,1
Dice4x,1
DoctaN208,3
Doodles4,5
DreamLogic,3
Drogoton,1
DuelGodXX,3
Dufji,1
Eco,5
EightPoint,1
Emerald,1
FIREDAWG248,3
FitzyPvP,10
Forcatchy,1
Foxify,7
FrostyyMC,14
Fxntasii,1
Garvey,2
GiantPoop,1
Glqmorous,1
GoldenMurphyMan,1
GoogleSearches,3
Gusuu,1
HaederTheToast,1
Happy_Skeppy,1
Hawkeye Hollow,4
Hixxxxx,1
ILikePeeVeePee,2
IcyHotHead,12
ImRayst,1
Imran,1
Insted,14
InvadedLands,1
Invincible50,10
ItalicPie580,3
ItsUnFazedX,1
ItsYaBoiAlex14,17
Jacob,2
Jaimss,19
JamesJustJoined,27
Japan___,4
Jedadah,4
JoeMS10,34
Kadaca_,1
Kayloo,1
KingLoLoHP,1
KittyKitty69,3
Ky,1
LadiesHitMeUp,1
Lancciks,1
Lauren,6
Laylim,1
Lonewulfx3,2
LuckyBlockJack,1
Lumbrub,6
Lynds,1
MagnitoIsAGod,4
Manga_Sensei,1
Marioxo,1
MatiasCL,1
McDonalds,1
MicroWarrior00,1
Mihaitai,1
Misplqce,3
Mix,1
Momentum,1
Monit0r,6
Mxxrcell,2
Mysteexx,1
NameAidan,6
Neptune888,15
NestaDiePie,5
Nicbo,60
Notascendix,2
Ocaaaasek01,1
OneClap,1
OneDance,1
OrionPvP,15
Other,1
OwOJoey,1
OwensThing,1
Pentala,1
Periys,1
Playton,1
Preceding,1
Ramen,1
Reblxtemp3r,1
Redot,9
RichieInDaBox,1
Ring,1
RundownHD,1
Runny,1
RyanCantPvP,1
SadLuna,1
SantiCheddar,1
Sasuke,1
Secret_Smasher,1
Sedatte,1
Seqsons,1
Serpent0406,8
Simplility,11
SirLuc,1
SkeppyCat,1
SkittlesTM,2
Smakina,2
SpaceUnit,33
Spycy,1
Ssnackss,1
StarGamesX,1
Stmz,6
Stradium,1
Subsy,4
Summerr,6
SwagBoy44444,2
Talem,1
TemptingYeptical,1
TeunMC,1
Th3ftx,3
TheTimeDefender,2
Threewn,3
TomShef,1
TorpedoTim64,5
Trystan,2
Twisst,1
UnholyCow,1
Unnamedguy,2
V_A_M,19
Vainer,2
Vatrea,1
Voltwave,1
Vooltron,1
WasabiRaven,5
Weirdillusions,8
Wolthy,1
Wqlk,2
Xoads,2
Yawnless,5
YeaHaw,1
Z_Voltage,1
ZelkTheElk_Jr,1
Zigelz,1
ZippyYX,2
Zopetto,1
_Goomy,1
_gnrelyt,1
a1m0g,1
adam,3
aiht,1
akise_oof,1
ambiients,1
ash,6
astroepengee,3
belle,2
bewitchingmallll,2
bobepurple,1
cSyre,3
casey,99
cellwall,1
d_rodrigo,6
distillable,2
djenson,1
dog,16
dorkier :),2
drayken,1
embox,10
flameless,1
fongus,2
frostyneedshelp,2
fwequentie,1
gamers90,1
hevex,2
heytylerreid,3
iMartines,1
katykat,9
kkhan,1
krovic,2
kvids,80
latl,8
lovebailey,23
lovejaidy,2
lukaplayz,1
mrchanjack1,1
muffinyboyhalo,2
mvri,13
ninvm_,1
not not helpline,1
pat_3,4
ql3c,5
rcgret,5
sSkiez,5
sadkai,1
sadliar,8
spongyfan1,1
succesfully,3
swee,1
uwuJordan,1
vapish,1
velo,3
voidkay,3
vs8,1
warper,2
wetplace,1
xImmune,1
xSquid3997,2
xd_joe,1
xpainfulll,1
